"Protein IDs","Gene Names","t-test P2-Adh Difference","t test P2 Adh p value","t-test Difference_P5-Adh","t-test p value_P5-Adh"
Q8NBU5;B4E2J1;Q8NBU5-2,ATAD1;FNP001,NA,NA,7.04,3.1E-05
Q8NBX0;E9PEA8,CGI-49;SCCPDH,NA,NA,-1.6,0.00182
Q8NCA5;Q8NCA5-2;B4DT23;E9PH82;C9J3G8,FAM98A,NA,NA,-10.13,0.000417
Q8NF37,AYTL2;LPCAT1;PFAAP3,1.38,0.000246,1.6,0.000441
Q8NFH3;B4E2F0;Q5VYB5;B4DVD1;F5H0E3;B4E301,NUP43,0.89,0.000933,NA,NA
Q8NFH5;B4DYB4;F8WEL4;F8WCF5;C9IYQ7;B4DP57;C9JIY9;C9JWU7,MP44;NUP35;NUP53,NA,NA,0.91,0.0102
Q8NHP8;F5H5E2,PLBD2,NA,NA,-0.87,0.00651
Q8NI27;E9PHG2;H0Y815;Q8NI27-2;F2Z2V2,CXorf3;THOC2,0.85,0.00345,1.31,0.000823
Q8TA92;Q9Y4W6,AFG3L2,0.87,0.00148,0.98,0.00112
Q8TB36;Q8TB36-2,GDAP1,9.03,0.000161,9.44,1.26E-05
Q8TBX8;B4DY44;B4DM11;B3KQV3;F8VNT5;F8VU68;H0YIJ6,PIP4K2C;PIP5K2C,-0.94,0.0027,-1.07,0.000227
Q8TCS8,PNPASE;PNPT1,1.33,0.00241,1.25,0.00221
Q8TDD1-2;Q8TDD1;H0YHH7;F8VRX4,DDX54,NA,NA,1.39,0.0027
Q8TDN6,BRIX;BRIX1;BXDC2,1.52,0.00047,NA,NA
Q8TEM1;Q8TEM1-2,KIAA0906;NUP210;PSEC0245,NA,NA,1.48,0.00247
Q8WUY1;H0YAR9,C8orf55;PSEC0098,NA,NA,-0.87,0.000988
Q8WVM8;B7Z738;B7Z4U7;B7Z594;B7Z5N7;G3V2M8;H0YJY1;G3V5F3;G3V4I1;H0YJS6;G3V363;G3V3K9,C14orf163;FKSG23;KIAA0917;SCFD1;STXBP1L2;hCG_40906,0.62,0.0016,0.33,0.00264
Q8WVV9;C9J9G0;Q8WVV9-4;B7WPG3;Q5JB52;Q8WVV9-3,BLOCK24;HNRPLL;SRRF;hCG_15881,0.69,0.00156,0.93,1.38E-06
Q8WWI1;Q8WWI1-2;F8WD26;Q8WWI1-4;E9PMT2;E9PLH4;Q8WWI1-3;E9PMS6;H0Y424;E9PMP7;H0YDQ3;H0YDG6;H0YE95,FBX20;FBXO20;KIAA0858;LMO7,NA,NA,-9.41,2.05E-05
Q8WWQ0,PHIP;WDR11,9.4,7.98E-05,8.27,3.56E-05
Q8WWV3;G3V1R2;Q8WWV3-3;Q8WWV3-2,NIMP;RTN4IP1,NA,NA,0.9,0.000182
Q8WWY3;E7EVX8;E7ESA8;Q8WWY3-2;Q8WWY3-3;E7EN72;E7ESX0;E7EU94,PRP31;PRPF31,1.01,0.0036,1.03,0.000772
Q8WX92,COBRA1;KIAA1182;NELFB,0.72,0.000535,NA,NA
Q8WXF1;F5H656;Q8WXF1-2,PSP1;PSPC1,NA,NA,1.26,0.00388
Q8WYA6;Q8WYA6-2;Q8WYA6-3;A2A2P1;C9JS85,C20orf33;CTNNBL1;PP8304,NA,NA,1.04,0.00798
Q8WYP5-2;Q8WYP5,AHCTF1;ELYS;MSTP108;TMBS62,NA,NA,9.06,4.99E-06
Q92522,H1FX,1.06,0.00336,1.86,0.00241
Q92538,GBF1;KIAA0248,NA,NA,-0.44,0.00721
Q92597;E9PDL6;B7Z446;B3KR80;B7Z505;E5RIM2;E5RIV1;E5RGM5;E5RIR1;E5RK17;E5RH82;F5H654;E7ESM1;E5RI76;E5RJY1;E5RG99;E5RJ98,CAP43;DRG1;NDRG1;RTP;hCG_32451,-3.45,0.00177,-4.1,0.000778
Q92599;F8W8I8;F6W7K9;A6NFQ9;C9J9B6;A6NMH6;Q92599-2;Q92599-3;C9JV02;B5ME97;Q9P0V9-2;E7EX04;Q9P0V9;E7EW69;Q9P0V9-3;B7Z371;E9PBL4;B7Z277;C9J4G8,KIAA0202;SEPT8,NA,NA,-0.35,0.00936
Q92621;F8WCW4;F2Z2D0;E7ET25,C7orf14;KIAA0225;NUP205,1.7,0.00427,NA,NA
Q92665;REV__Q6ZN16;REV__E7EWI5;REV__Q6ZN16-3;REV__Q6ZN16-2,IMOGN38;MRPS31,1.05,0.00203,1.38,0.000482
Q92804;Q92804-2;F5GWQ7,RBP56;TAF15;TAF2N,2.05,0.00496,1.98,0.0016
Q92817,EVPL,-0.23,0.0032,-0.58,0.00742
Q92896-2;B7Z8Y4;Q92896,CFR1;ESL1;GLG1;MG160,NA,NA,-0.54,0.00641
Q92945;Q92945-2;E7EP96,FUBP2;KHSRP,0.7,0.000699,0.81,2.82E-05
Q92973;Q92973-2;Q92973-3;E5RI07;E7EW37;B4DSC0,KPNB2;MIP1;TNPO1;TRN,NA,NA,0.57,0.00631
Q93062;F5H357;Q93062-5;B4E3T4;Q93062-3;Q93062-2;Q93062-4;H0YBU9;H0YC46;Q6ZRY4;E5RJ31;E5RFP4;E5RJD7,HERMES;RBPMS;hCG_2043421,NA,NA,10.93,1.24E-06
Q93084-7;Q93084-5;Q93084-6;Q93084;Q93084-3;Q93084-2;F8WC06;Q93084-4;E9PFL6,ATP2A3,-1.75,0.000631,-1.93,0.000562
Q969S9;Q969S9-3;Q969S9-2;F5H687;Q969S9-4;Q969S9-5;D6RAL1,EFG2;GFM2;MSTP027,8.5,0.000118,8.53,0.000315
Q969Z0;Q969Z0-2;C9JY22;C9J7P5;C9IZN7;C9J347;C9J5A2,CPR2;FASTKD4;KIAA0948;TBRG4,1.76,0.000106,1.43,0.00636
Q96A35,MRPL24,0.74,0.00217,NA,NA
Q96A49,PRO3113;SYAP1,NA,NA,-0.93,0.00258
Q96AY3;F5H1P8;F8WA23;H0Y827;Q9H6J3;C9JPC3,FKBP10;FKBP65;PSEC0056,-0.76,0.00435,-0.62,0.00613
Q96AZ6;H0YMM4;Q96AZ6-2,HEM45;ISG20,-7.96,1.79E-05,NA,NA
Q96CP2;Q4VC44-3;Q4VC44;Q4VC44-2,FLYWCH2,NA,NA,0.93,0.00974
Q96DH6;B4DHE8;Q96DH6-2;B4DM51;Q96DH6-3;O43347;H0YHB7,MSI2,0.45,0.00315,0.89,4.01E-05
Q96DI7;B4DQJ1;Q9NSS8,PRP8BP;SFP38;SNRNP40;WDR57,NA,NA,1.21,0.00896
Q96EE3-1;Q96EE3,SEC13L;SEH1;SEH1L,NA,NA,10.3,3.23E-05
Q96EK9,KTI12;SBBI81,NA,NA,-8.49,8.44E-05
Q96EP5;Q96EP5-2,DAZAP1,1.14,0.00495,1.15,0.00582
Q96EY1;Q96EY1-2;E7ES32,DNAJA3;HCA57;TID1,NA,NA,1.24,0.00231
Q96F86,EDC3;LSM16;PP844;YJDC;YJEFN2,NA,NA,-0.38,0.00833
Q96FW1;F5GYN4;F5H6Q1;Q96FW1-2;F5GYJ8;F5H3F0,HSPC263;OTB1;OTU1;OTUB1,NA,NA,-0.62,0.00267
Q96GC5;B4DN34;F5H702;F5H8D0,CGI-118;HSPC290;MRPL48,8.84,0.000192,9.62,0.000212
Q96HE7;G3V3E6;G3V2H0;G3V5B3;G3V503,ERO1L;UNQ434/PRO865,-1.66,0.00515,-2.35,0.000626
Q96HS1;Q96HS1-2;F5GXG4,PGAM5,NA,NA,0.94,0.00935
Q96HY7;C9JWN1,DHTKD1;KIAA1630,NA,NA,1.05,0.00546
Q96I24;A6NJ37;Q96I24-2,FBP3;FUBP3,0.89,0.00214,1,0.00155
Q96I59;G3V178;H0YE96;E9PRK2;H0YEL9,NARS2,NA,NA,11,1.22E-05
Q96I99;Q96I99-2;E9PDQ8;F5H4S7;H0Y852,SUCLG2,NA,NA,0.86,0.00945
Q96IJ6-2;Q96IJ6;F8WD54;C9JAH0;C9J255,GMPPA,-0.99,0.00286,-1.13,0.000822
Q96IK1;Q96IK1-2;Q8IYS8;B4DX39;C9JNZ5;C9J8U9,BOD1;FAM44B,NA,NA,10.08,1.94E-07
Q96IR7,GLOXD1;HPDL,1.65,0.000743,1.23,0.00243
Q96IU4;B4DNR3;F8W9U3;B4DQI4,ABHD14B;CIB,-0.84,0.00111,-0.97,0.00533
Q96JB5;F5H3I5;Q96JB5-2;Q96JB5-3,CDK5RAP3;IC53;MSTP016;OK/SW-cl.114;PP1553,NA,NA,0.43,0.00854
Q96JM3,C13orf8;KIAA1802;ZNF828,NA,NA,1.57,0.005
Q96K21;Q96K21-2;Q96K21-3,MPFYVE;ZFYVE19,-1.32,0.00374,-0.98,0.00522
Q96KG9;Q96KG9-2;E9PS17;Q96KG9-3;Q96KG9-6;Q96KG9-4;E9PK59;Q96KG9-5;E9PPN3;E7ET66;H0YCI6;H0YDH0,CVAK90;GKLP;HT019;NTKL;SCYL1;TAPK;TEIF;TRAP,NA,NA,-1.12,0.00613
Q96KM6,KIAA1196;ZNF512B,NA,NA,0.95,0.00177
Q96KR1;B5MEH6;H0Y8W1;Q05D65,ZFR,NA,NA,1.5,0.00394
Q96LW7-2;Q96LW7,C9orf89,NA,NA,10,8.53E-05
Q96N21-2;Q96N21,C17orf56,-7.65,0.000129,NA,NA
Q96PK6;Q96PK6-2;B8ZZ74;F2Z2W2;F8WDX3;Q2PYN1;D6RGD8,RBM14;SIP,1.06,0.00482,1.57,0.000102
Q96Q11;Q96Q11-2;C9JRS7;F8W8C3;Q96Q11-3,CGI-47;TRNT1,0.66,0.00567,0.48,0.00945
Q96RE7,BTBD14B;NAC1;NACC1,-0.89,0.000821,NA,NA
Q96SI9;Q96SI9-2;Q5JPA5;E9PKQ0,SPNR;STRBP,1.43,0.000306,NA,NA
Q96ST3,SIN3A,NA,NA,0.95,0.00334
Q96SY0;B4DVT3;B4DVD5,C15orf44,NA,NA,0.79,7.96E-05
Q96TA1;Q96TA1-2;F5H3T0,C9orf88;FAM129B,NA,NA,-0.74,0.00297
Q96TA2;Q96I63;Q96TA2-2;B4DNM1;F5GYR4;Q5T8D1;Q5T8D2,FTSH1;UNQ1868/PRO4304;YME1L;YME1L1;hCG_25240;RP11-145E8.2-001,8.86,5.22E-07,8.95,2.67E-05
Q99439;A6NFI4;E7ENR3,CNN2;hCG_21577,1.04,0.00335,1.17,0.000648
Q99470,SDF2,NA,NA,-0.71,0.00211
Q99536;B3KUF8;B0AZP7;E9PF80,VAT1,-0.92,0.00355,-1.49,0.000449
Q99541;E9PG83;Q5SYF4;Q5SYF5;Q5SYF3,ADFP;PLIN2,NA,NA,-10.3,3.03E-05
Q99575;E5RK39,KIAA0061;POP1,NA,NA,0.78,0.00397
Q99584,S100A13,-1.32,0.00232,NA,NA
Q99598;Q5VVQ1,TRAX;TSNAX;RP11-17H4.1-003,NA,NA,-0.85,0.0082
Q99707;B7ZLW7;B4DST3;B1ANE3,MTR;RP11-182B22.1-002,-9.17,4.62E-06,-9.31,2.5E-06
Q99729-2;D6RBZ0;Q99729-3;D6RD18;D6R9P3;Q99729;Q99729-4,ABBP1;HNRNPAB;HNRPAB,1.03,0.00426,1.22,0.000676
Q99798;A2A274;F5H2A5;B4DW08,ACO2;RP3-347H13.8-002,NA,NA,0.49,0.00795
Q99848,EBNA1BP2;EBP2,8.48,0.000841,9.67,4.44E-05
Q99873;G5E9B6;Q99873-2;Q99873-3;E9PKG1;B4DJ87;E9PIX6;E9PQ98;H0YDE4;E9PNR9;E9PI83;E9PMW9;Q9NR22;Q9NR22-2,HMT2;HRMT1L2;IR1B4;PRMT1,NA,NA,1.42,0.00191
Q99961;E7EVZ4;Q99962;F5H5J3,CNSA1;SH3D2B;SH3GL1,NA,NA,-0.88,0.00104
Q99986;H0YJ50;H0YJJ9,VRK1,10.55,0.000169,10.69,1.97E-05
Q99988,GDF15;MIC1;PDF;PLAB;PTGFB,NA,NA,-10.35,0.000106
Q9BQ04;E9PM61;E9PLB0;H0YDG8,RBM30;RBM4B,9.32,3.87E-05,NA,NA
Q9BQ52;E9PGJ0;G5E9D5;B4DPL9;E7ES68;Q9BQ52-3;Q9BQ52-2,ELAC2;HPC2,NA,NA,0.77,0.00288
Q9BQG0-2;Q9BQG0;E7EN09,MYBBP1A;P160,1.79,0.000305,1.7,7.22E-05
Q9BQK8;E9PG51;H0Y5E1,LIPN3L;LPIN3,-9.44,2.99E-05,-10.03,1.1E-05
Q9BR76;E7EW44;H0Y3L6;F5H390;F5H0D2,CORO1B,-0.94,0.00278,-1.29,0.000777
Q9BRP1,PDCD2L,6.33,0.000397,6.23,0.000553
Q9BRT6,C12orf31;LLPH,NA,NA,12.36,1.46E-06
Q9BS40,LXN,-0.64,0.00647,-1.17,0.00365
Q9BSD7;Q5TDF0,C1orf57;hCG_15829;RP4-659I19.2-002,NA,NA,0.45,0.00631
Q9BSJ8-2;Q9BSJ8;B3KY56;F8VZB1,ESYT1;FAM62A;KIAA0747;MBC2,NA,NA,-0.34,0.00789
Q9BST9;Q9BST9-3;Q9BST9-2,RTKN;RTKN1,-8.84,2.42E-05,-9.22,2.41E-05
Q9BT09,CNPY3;CTG4A;ERDA5;HSPC084;PRAT4A;TNRC5;UNQ1934/PRO4409,NA,NA,-1.25,0.00734
Q9BTE3;Q9BTE3-2;Q9BTE3-3,C10orf119,NA,NA,9.21,1.28E-05
Q9BTL3,C15orf18;FAM103A1,NA,NA,10.37,7.24E-05
Q9BTV4,TMEM43;UNQ2564/PRO6244,1.02,0.00294,NA,NA
Q9BTY2;Q7Z6V2;Q7Z6V1,FUCA2;PSEC0151;UNQ227/PRO260,NA,NA,-8.49,6.38E-05
Q9BUH6,C9orf142,NA,NA,-0.27,0.00435
Q9BUJ2;Q9BUJ2-2;B7Z4B8;Q9BUJ2-4;Q9BUJ2-3;E9PE99,E1BAP5;HNRNPUL1;HNRPUL1,0.74,0.000765,0.94,0.000339
Q9BUL9,RPP25,9.08,0.000231,NA,NA
Q9BUQ8;H0YI52;F8VVA2,DDX23,1.13,0.00414,1.15,0.00211
Q9BV36;Q9BV36-2;B4DKW7;Q9BV36-3;G5E9G5;C9JKV5;C9JI01,MLPH;SLAC2A,NA,NA,-1.68,0.00725
Q9BV44,THUMPD3,NA,NA,-7.77,4.21E-05
Q9BVJ6;E9PEL7;F8WD00;Q9BVJ6-2;Q5TAP6,SDCCAG16;UTP14A,NA,NA,10.55,0.000137
Q9BVP2;Q9BVP2-2;B4DMU5;C9JZT7;C9JYH9,E2IG3;GNL3;NS,1.07,0.0004,NA,NA
Q9BW27;B4DMQ3;B4DPW1;F5H0B4;F5H0W7,NUP75;NUP85;PCNT1,NA,NA,1.31,0.0048
Q9BW91;Q9BW91-2;D6RAW2;D6R8Z6,NUDT10;NUDT9;PSEC0099;UNQ3012/PRO9771,-0.3,0.00529,NA,NA
Q9BW92;Q9H9V2;Q5T5F2;B4DQF3;E7EVR9;Q5T5E9,TARS2;TARSL1;hCG_1999130;RP11-54A4.9-010,NA,NA,0.89,0.00296
Q9BWD1;B7Z233,ACAT2;ACTL,NA,NA,-1.85,0.000651
Q9BWF3;E9PB51;E7EQS3;Q9BWF3-2;D6R9K7;Q9BWF3-3,RBM4;RBM4A,NA,NA,0.92,0.00785
Q9BXP5;Q9BXP5-3;Q9BXP5-2;Q9BXP5-4;Q9BXP5-5;E7EPT2;Q58EX7;Q58EX7-2;REV__O43304;REV__Q8IWL3;C9JUL9;F5H3Y8,ARS2;ASR2;SRRT,0.81,0.00321,1.09,0.00205
Q9BXW7;Q9BXW7-2;A8MYZ9,CECR5,0.63,0.00426,NA,NA
Q9BY44;F8WAE5;B4DQ14;B4DF96;Q9BY44-2;C9IZE1;F8WAT3;F8WF18,CDA02;EIF2A;MSTP004;MSTP089,-0.52,0.00108,NA,NA
Q9BY77;Q9BY77-2;F8WCX5;B4DMM2;F8WEE2;Q6R954;B4DSH9,KIAA1649;PDIP46;POLDIP3,NA,NA,1.04,0.0037
Q9BYC5;G3XAD2;G3V5N0;Q9BYC5-2;Q8IUA5,FUT8,NA,NA,-0.56,0.00414
Q9BYT8;F8W713;E9PCB6;H0YAK4;H0YAF7,AGTBP;KIAA1226;NLN,1.08,0.00345,1.53,0.00657
Q9BZE1;E9PB99;A6NHR2;H0Y4J2,HSPC235;MRPL2;MRPL37;RPML2,1.05,0.00237,1.31,0.00137
Q9C0J8;Q6NUQ0;C9J8B4;Q9C0J8-2;B9A053,WDC146;WDR33,1.8,0.00458,11.83,8.47E-07
Q9GZT3;G3V2S9;G3V4X6;H0YJ40;H0YJW7;H0YJU7;H0YJ07;H0YJI1,C14orf156;DC23;DC50;PD04872;SLIRP,NA,NA,1.16,0.00251
Q9H0A0;E7ESU4;E9PMN9;E9PMU0;E9PJN6,ALP;KIAA1709;NAT10,NA,NA,1.67,0.000171
Q9H0D6;B4DZC3;Q9H0D6-2,XRN2,1.01,0.00158,1.27,0.00657
Q9H0N5;H0YA52,DCOH2;DCOHM;PCBD2,-1.83,0.00131,-1.97,0.00826
Q9H147;C9J7R7;C9J7S2;C9J4E2;F2Z2A4;H0Y501,C20orf167;DNTTIP1;TDIF1,0.74,0.000983,NA,NA
Q9H1A4;H0Y564,ANAPC1;TSG24,NA,NA,9.92,2.86E-05
Q9H1B7;Q7Z5L9-3,C14orf4;EAP1;KIAA1865;My039,NA,NA,0.33,0.00815
Q9H1I8;F5H6J9;B1AH60;B1AH59;F8WAQ6;F2Z2W4;Q9H1I8-2,ASC1P100;ASCC2;SC22CB-11B7.2-016;SC22CB-11B7.2-010,NA,NA,-9.87,6.6E-05
Q9H1Y0;Q9H1Y0-2;Q7Z3H3,APG5L;ASP;ATG5,-11.12,0.000229,NA,NA
Q9H223,EHD4;FKSG7;HCA10;HCA11;PAST4,-0.69,0.000514,NA,NA
Q9H269;Q9H269-2;Q5JUA8;Q5JUA9;Q5JUB0,VPS16;RP11-12M19.2-006,9.48,0.000119,8.75,5.78E-06
Q9H299;Q5T123,P1725;SH3BGRL3;RP11-569G9.2-002,-1.1,0.000241,-1.31,0.000547
Q9H2P0;E9PQK8,ADNP;ADNP1;KIAA0784,NA,NA,1.2,0.000176
Q9H307;Q9H307-2,DRS;MEMA;PNN,NA,NA,1.28,0.00642
Q9H3K6;Q9H3K6-2,BOLA2;BOLA2A;BOLA2B;My016,NA,NA,-1.33,0.00131
Q9H444,C20orf178;CHMP4B;SHAX1,NA,NA,-1.31,0.00343
Q9H4A6;F5H7W9;D6REM1,GOLPH3;GPP34,NA,NA,-0.83,0.0025
Q9H4M9;B4DZH9;F5H5B6;C9JC03;C9J2Z4;C9IZH1;C9JIJ3;C9JDQ8;Q9NZN4;F5H559;F5GXL2,CDABP0131;EHD1;PAST;PAST1,-0.88,0.000529,-1.01,0.000591
Q9H583;Q5T3Q7;REV__E9PHF8;REV__H0Y5G9,BAP28;HEATR1;RP11-385F5.3-002,NA,NA,8.9,2.23E-05
Q9H6F5;B4DY99,CCDC86;CYCLON,NA,NA,8.25,6.37E-05
Q9H6K4;Q9H6K4-2,OPA3,-7.42,2.07E-06,NA,NA
Q9H6R4;Q9H6R4-4;G8JLK7;Q9H6R4-2;F5H6M7;Q9H6R4-3,NOL6,1.7,0.00385,NA,NA
Q9H6W3;Q9H6W3-2,C14orf169;NO66,NA,NA,2.98,0.000453
Q9H7B2;Q5VXN0;Q5VXM9,BXDC1;RPF2;RP11-397G5.1-003;RP11-397G5.1-002,8.95,0.000151,8.88,1.55E-05
Q9H7Z7;A6NHH0,C9orf15;PGES2;PTGES2;hCG_1785478,0.89,0.00145,0.59,0.0059
Q9H8W4;Q96S99,PLEKHF2;ZFYVE18,-1.75,0.00563,NA,NA
Q9H9B4;D6RFI0;D6RDG7;D6RAE9,SFXN1,NA,NA,-0.31,0.00464
Q9H9J2,MRPL44,0.92,0.00141,1.1,0.0087
Q9HA77;F5H7A3;H0YFF0,CARS2;OK/SW-cl.10,8.44,2.46E-05,8.09,2.36E-05
Q9HAN9;B1AN62,NMNAT;NMNAT1,8.41,2.02E-06,7.99,1.94E-05
Q9HAV4;C9J4N8;E7EQK9;E7EQN7;H0Y9I3;E2QRM3;H0Y3W3,KIAA1291;RANBP21;XPO5,NA,NA,1.04,0.00484
Q9HBH1,PDF;PDF1A,NA,NA,10.24,1.63E-05
Q9HCD6;Q9HCD6-2;Q9HCD6-4;Q9HCD6-3,KIAA1148;KIAA1636;TANC2,-1.57,0.00137,-1.01,0.00648
Q9HCH5-8;Q9HCH5-7;Q9HCH5-11;H0YE56;Q9HCH5-2;Q9HCH5-9;Q9HCH5-4;E9PPL3;E9PS29;E9PQL8,,NA,NA,-0.9,0.00316
Q9HCU4;Q9NYQ7-2;Q9NYQ7,CDHF10;CELSR2;EGFL2;KIAA0279;MEGF3,NA,NA,10,0.000401
Q9HCY8,S100A14;S100A15,NA,NA,-1.77,0.00067
Q9HD33;Q9HD33-2;Q9HD33-3,CGI-204;MRPL47;NCM1,NA,NA,0.48,0.000729
Q9NP72;F5H4U3;H0Y6T8;Q5W0J0;B7Z333,RAB18;RP11-148B2.1-003,-0.83,0.000671,-1.02,0.000392
Q9NP92,BM-047;MRPS30;PDCD9,NA,NA,9.7,1.72E-05
Q9NPE3;H0YM60,NOLA3;NOP10,3.09,0.000656,NA,NA
Q9NQ50;F8WBK5,MRPL40;NLVCF;URIM,0.99,0.0032,NA,NA
Q9NQ88,C12orf5;TIGAR,-1.01,0.00104,NA,NA
Q9NR30;Q9NR30-2;Q3SWU7,DDX21,1.29,0.00157,1.17,0.00116
Q9NR31;B4DQ19;Q5SQT8;E9PBN0;H0Y5E8,SAR1;SAR1A;SARA;SARA1;RP11-367H5.4-004,NA,NA,-1.04,0.000412
Q9NRG9;Q5JB47;F8VZ44;F8VUB6;F8VVJ5,AAAS;ADRACALA;GL003,NA,NA,7.82,2.08E-05
Q9NRV9;F5GWX2;H0YG71,HBP;HEBP1,-1.38,0.000434,-1.32,0.000797
Q9NRX4;Q9NRX4-2,CGI-202;HSPC141;PHP14;PHPT1,-1.37,0.000823,-1.36,0.00164
Q9NRY5;E7ESJ7;B3KTE4;E5RGF9;E5RFK2;E5RHI8,C5orf3;FAM114A2,-7.28,3.57E-06,-7.53,5.02E-06
Q9NVP1;F5H863,DDX18,1.57,0.00331,1.57,0.003
Q9NVR2;H0YB36;H0YBH6,C8orf35;INTS10,8.55,7.37E-05,8.64,0.000153
Q9NW13;E9PDD9;C9JAA9;C9JE21,RBM28,NA,NA,8.83,1.59E-05
Q9NX24;D6RCB9;D6RC52;H0YC83,HSPC286;NHP2;NOLA2,1.76,0.0024,1.77,0.00393
Q9NXG6-3;Q9NXG6;Q9NXG6-2,P4HTM;PH4,NA,NA,-1.23,0.00617
Q9NXJ5,PGPEP1;PGPI,-1.03,0.000763,NA,NA
Q9NYU2;Q9NYU2-2;Q9NYU1,GT;UGCGL1;UGGT;UGGT1;UGT1;UGTR,0.21,0.00556,0.3,0.00451
Q9NZ45,C10orf70;CISD1;MDS029;ZCD1,NA,NA,0.49,0.00838
Q9P015;E5RIZ4;E5RHF4,HSPC145;MRPL15,NA,NA,1.02,0.007
Q9P035;B4DRF4,BIND1;PTPLAD1,0.72,0.000946,0.71,0.00111
Q9P0I2;Q9P0I2-2;C9JLM9,TMEM111,NA,NA,9.74,0.000245
Q9P0M9;D6RAN8;B3KN43;D6RE11,HSPC250;MRPL27;hCG_29617,NA,NA,9.69,0.000133
Q9P2E9;Q9P2E9-2;Q9P2E9-3;F8W7S5;A2A2S5;Q8N4C6-7;Q8N4C6-10;Q8N4C6-5;Q8N4C6;Q8N4C6-2;Q8N4C6-9;C9J066;Q8N4C6-4;E9PN67;H0YEL6;H0YDJ4;Q5BKU3;F8W6D3;Q8N4C6-6,KIAA1398;RRBP1,-0.77,0.00114,-0.45,0.00815
Q9P2N5;Q5T8P6-4;Q5T8P6-5,KIAA1311;RBM27,9.3,6.95E-05,NA,NA
Q9UBC9;F5GZ12;B1AN48,SPRC;SPRR3;RP1-20N18.3-003,NA,NA,-9.02,2.65E-05
Q9UBP0;Q9UBP0-2;Q9UBP0-3;Q9UBP0-4,ADPSP;FSP2;KIAA1083;SPAST;SPG4,NA,NA,9.82,9.44E-06
Q9UBQ0;F8VXU5;Q9UBQ0-2,DC15;DC7;MDS007;VPS29,NA,NA,-0.54,0.00466
Q9UBT2;B3KWB9;F5H4L5,HRIHFB2115;SAE2;UBA2;UBLE1B,0.36,0.00623,NA,NA
Q9UBU9;E9PIN3;Q9UBU9-2;B4E3J0;H0YDU0;E9PLA7,NXF1;TAP,NA,NA,8.47,2.83E-05
Q9UBW8;F5H248;F5GYF7;F5H7C6;F5H4U8;F5H7D4;F5H3D9;F5GXT7;G3XAP1;F5H3M6;F5H4Z0,COPS7A;CSN7A;DERP10,NA,NA,-0.34,0.00214
Q9UDX5;B5MC22;Q9UDX5-2;F8WEN7,HSPC242;MTP18;My022,-7.68,6.13E-05,NA,NA
Q9UFC0,LRWD1,8.94,1.15E-05,8.58,1.86E-05
Q9UGR2;Q9UGR2-2,KIAA1031;ZC3H7B,-7.3,5.85E-06,NA,NA
Q9UGV2;Q9UGV2-2;Q9UGV2-3;F8WBF9;B7Z341;Q5TH30,NDRG3;hCG_1785125;RP3-460J8.1-003,-0.82,0.00554,-0.98,0.00289
Q9UHB6-4;Q9UHB6;B4DN52;Q9UHB6-2;F8VQE1;Q9UHB6-3;F8VS07;F8VRN8;F8VTU2;F8VVQ7;F8VZI6,EPLIN;LIMA1;PP624;SREBP3,NA,NA,0.82,0.00569
Q9UHB7;Q9UHB7-2;Q9UHB7-3,AF5Q31;AFF4;HSPC092;MCEF,NA,NA,8.17,0.000153
Q9UHL4,DPP2;DPP7;QPP,NA,NA,-1.11,0.00342
Q9UHQ9,CYB5R1;NQO3A2;UNQ3049/PRO9865,-0.92,0.00294,NA,NA
Q9UIC8-2;A8MQ43;Q9UIC8;Q9UIC8-3,LCMT1;CGI-68;LCMT,NA,NA,-0.7,0.0098
Q9UJ70;C9JEV6;C9JB48;H0YEB7;H0YC94;E9PPU6;H0YF44,NAGK,-1.03,0.00072,-1.09,0.000367
Q9UJV9;D6RGI7;H0Y8L8,ABS;DDX41,NA,NA,9.16,0.000283
Q9UJX4;F5H0F9;E9PFB2;F5H0N1;H0YFB5;B4DFK4;Q9UJX4-2;F5GY68;F5H3S5,ANAPC5;APC5,9.61,2.4E-06,9.39,5.95E-06
Q9UJY1;H0YG30,CRYAC;E2IG1;HSP22;HSPB8;PP1629,1.64,0.00326,1.32,0.01
Q9UJZ1;B4E1K7;F2Z2I8,HSPC108;SLP2;STOML2,NA,NA,0.98,0.00913
Q9UK22;A6NNP0;C9JQC5,FBX2;FBXO2,-8.43,1.32E-05,NA,NA
Q9UK41;Q9UK41-2;E9PM90;E9PQR7;E9PI55;E9PR04;E9PLM9,VPS28,NA,NA,-0.79,0.0103
Q9UKD2;REV__Q7Z7L1,C1orf33;MRT4;MRTO4,NA,NA,1.35,0.00165
Q9UKF6;G5E9W3;E7ER23;F5GXZ2,CPSF3;CPSF73,0.73,0.00178,0.52,0.00595
Q9UKY7;Q9UKY7-2;H0Y8K3;D6R9V8;Q9UKY7-3;D6RFH2;D6RDN0;D6RAV0;D6R973,CDV3;H41,1.4,0.00188,NA,NA
Q9ULA0;E7ETB3;E7EMB6;H0YGP0;E7EWP4;C9JBE1;F8WAN0;B9ZVU2;E7EPX3;E5RJ35;C9J1E2;C9JRG3,ASPEP;DAP;DNPEP,NA,NA,-0.43,0.00263
Q9ULX6,AKAP8L;HRIHFB2018;NAKAP;NAKAP95,NA,NA,9.36,0.000472
Q9UMS4;F5GY56;H0YGZ5;F5H2I0;H0YGF3,NMP200;PRP19;PRPF19;SNEV,0.93,0.000435,NA,NA
