"Protein IDs","Gene Names","t-test P2-Adh Difference","t test P2 Adh p value","t-test Difference_P5-Adh","t-test p value_P5-Adh"
G3V3D1;E7EMS2;G3V3E8;H0YIZ1;P61916;B4DQV7;G3V2V8,HE1;NPC2,-9.79,4.12E-05,-10.08,0.000311
G3V5N8;Q9HBF4;Q9HBF4-2,DFCP1;KIAA1589;PP10436;TAFF1;ZFYVE1;ZNFN2A1,-8.42,9.69E-06,NA,NA
G5E975;Q12824-2;Q12824;C9JTA6;B5MCL5,BAF47;INI1;SMARCB1;SNF5L1,NA,NA,0.82,0.0096
G5E9M5;Q12906;C9JFV5;Q12906-3;Q12906-6;Q12906-2;Q12906-4;Q12906-5;B4DFG4,DRBF;ILF3;MPHOSPH4;NF90,0.73,0.00497,0.87,0.000257
G5EA30;Q92879-4;Q92879;F8W940;Q92879-3;Q92879-2;E9PKU1;E9PSH0;E9PQK4;F5H0D8;F5H4Y5;E9PC62;O95319-3;O95319-4;O95319;Q5VZZ6;O95319-2;O95319-5;E9PKA1,BRUNOL2;CELF1;CUGBP;CUGBP1;NAB50,NA,NA,0.65,0.00955
G8JLB6;P31943;E9PCY7;H0YB39;D6RBM0;H0YBD7;E5RGV0;H0YBG7;D6RIU0;E7EN40;D6RIT2;D6RFM3;F5GZT4;E5RGH4;D6RIH9;D6RJ04;D6RDU3;D6R9T0;D6RAM1;E7EQJ0;H0YAQ2;D6RDL0;D6RF17;D6R9D3,HNRNPH1;HNRPH;HNRPH1,1.1,0.000629,1.3,0.00251
H0Y2M4;Q9UGI8;Q9UGI8-2;F8W7T0;B7Z6L5;F8WDI4,TES,NA,NA,-0.76,0.00066
H0Y3G8;Q93009;F5H8E5;B7Z7T5;F5H2X1,HAUSP;USP7,NA,NA,0.61,0.00183
H0YG33;P08107;F5GZ62;F5H1D3;F8VZJ4;E7EQL7;E7EP94;Q5SP16;E7EP11;C9IYI3;P48741,HSPA1;HSPA1A;HSPA1B;DAAP-21F2.8-002;DADB-333F21.4-002;DAQB-147D11.2-002;XXbac-BCX40G17.4-002;XXbac-BPG254B15.2-002,-0.29,0.00352,NA,NA
H0YIS7;C9J4G0;Q8IXM2;F8W038;F8W1H0,C17orf49;hCG_32827,NA,NA,0.75,0.00389
