Accession,Gene,114:113,"PVal 114:113",115:113,"PVal 115:113",116:113,"PVal 116:113",117:113,"PVal 117:113",118:113,"PVal 118:113",119:113,"PVal 119:113",121:113,"PVal 121:113"
Q59G75,-,1.279,0.0014,1.642,0,1.081,0.0761,1.059,0.5547,1.249,0.026,1.409,0.002,1.21,0.0117
Q14146,URB2,0.767,0.0854,0.667,0.0303,0.789,0.0356,0.9,0.2582,0.977,0.7558,0.888,0.1435,1.003,0.959
Q1KMD3,HNRNPUL2,1.012,0.9068,0.607,0.0001,1.35,0.0008,0.22,0,0.272,0,0.227,0,0.256,0
Q59F66,-,1.257,0.0303,1.053,0.6939,1.354,0.004,0.725,0.1297,0.983,0.898,1.207,0.2431,1.043,0.7698
B4E3V7,-,0.977,0.694,0.653,0.006,0.854,0.005,0.557,0,0.703,0.0014,0.682,0.001,0.668,0.0012
P31943,HNRNPH1,1.151,0.1175,0.798,0.0253,1.384,0.3326,0.355,0.3368,0.343,0.4128,0.325,0.3616,0.314,0.3418
Q9NU22,MDN1,0.613,0.0046,0.555,0.0141,0.626,0.0035,1.121,0.3088,0.802,0.0238,0.738,0.0164,1.014,0.9066
P46063,RECQL,1.324,0.0359,1,0.9994,1.057,0.3746,0.249,0,0.273,0,0.271,0,0.247,0
O95573,ACSL3,0.939,0.4856,0.946,0.5189,0.886,0.274,2.034,0.0084,1.636,0.0398,2.111,0.0081,2.149,0.0093
Q5SRE5,NUP188,1.082,0.6279,1.214,0.274,1.068,0.4743,2.072,0.023,2.424,0.0152,1.663,0.0716,1.85,0.0469
A4LAA3,ATRX,0.879,0.2225,0.742,0.0303,0.794,0.0527,0.858,0.0988,0.945,0.614,0.976,0.8382,0.871,0.1181
O60341,KDM1,0.977,0.6146,0.856,0.0745,1.023,0.5655,0.486,0.0003,0.463,0.0004,0.461,0.0002,0.447,0.0003
Q53G61,-,0.906,0.1851,0.656,0.0009,0.877,0.1562,0.334,0.0002,0.385,0.0003,0.366,0.0002,0.411,0.0002
Q53YD7,EEF1G,0.79,0.0104,0.666,0.0027,1.053,0.3093,0.147,0.0001,0.176,0.0002,0.169,0.0002,0.152,0.0001
Q9Y6C9,MTCH2,1.225,0.059,1.427,0.0736,1.003,0.9732,3.498,0.007,2.37,0.0217,2.343,0.0086,2.253,0.0262
B2RDN4,-,0.697,0.0022,0.637,0.0072,0.66,0.0006,0.864,0.069,0.851,0.0616,0.718,0.0058,0.841,0.0106
Q12789,GTF3C1,0.844,0.0987,0.799,0.012,1.159,0.0788,0.531,0.0026,0.684,0.0226,0.687,0.0096,0.762,0.1776
Q9Y490,TLN1,1.237,0.0351,1.504,0.0075,1.364,0.006,0.735,0.051,1.178,0.3537,1.019,0.9072,0.984,0.945
P42166,TMPO,0.917,0.6147,0.853,0.4217,0.864,0.3374,1.521,0.0274,1.167,0.2207,1.191,0.2539,1.168,0.3436
Q68DI0,DKFZp781K0743,1.057,0.3667,1.043,0.5013,1.205,0.0393,0.508,0.0022,0.488,0.0013,0.504,0.0013,0.584,0.013
P49756,RBM25,1.062,0.5426,0.801,0.0941,1.064,0.507,0.543,0,0.483,0.0002,0.494,0.0009,0.553,0.0001
P55072,VCP,0.733,0.0075,0.887,0.2111,1.099,0.0124,0.595,0.0042,0.655,0.0061,0.639,0.0137,0.601,0.0483
Q53GS9,USP39,1.302,0.3364,1.349,0.1048,0.969,0.8224,0.455,0.0016,0.51,0.0002,0.436,0.0036,0.502,0.0009
Q96C36,PYCR2,0.669,0.0701,0.728,0.3077,0.783,0.07,1.406,0.005,0.882,0.0994,1.011,0.8693,1.227,0.0109
Q9UJZ1,STOML2,0.765,0.1808,0.851,0.1845,0.897,0.0176,2.052,0.0018,1.36,0.2806,1.337,0.1572,1.468,0.0331
Q14126,DSG2,1.251,0.0153,1.328,0.0028,1.173,0.0278,2.071,0.0145,1.902,0.016,1.984,0.0129,1.919,0.0102
P42285,SKIV2L2,1.228,0.0179,0.94,0.4923,1.407,0.0011,0.414,0.0004,0.433,0.0005,0.387,0.0001,0.427,0.0002
Q15019,37500,0.753,0.0025,0.758,0.002,0.996,0.9199,0.456,0.0002,0.373,0.0003,0.413,0.0003,0.495,0.0002
Q8IWA0,WDR75,0.828,0.0465,0.917,0.4766,0.897,0.4712,1.016,0.8681,1.228,0.1002,0.965,0.7692,1.016,0.8983
O94776,MTA2,0.968,0.6294,0.749,0.0005,1.352,0.0004,0.289,0,0.306,0,0.293,0,0.308,0.0001
Q8IY81,FTSJ3,0.773,0.0023,0.772,0.1758,0.75,0,1.002,0.9854,1.153,0.2052,1,1,1.1,0.2398
O14497,ARID1A,0.916,0.3018,0.8,0.0404,0.952,0.4375,0.55,0.0042,0.569,0.0221,0.521,0.014,0.535,0.006
Q6LES8,TFAM,0.83,0.4354,0.797,0.3926,0.733,0.094,0.206,0.0073,0.153,0.0042,0.169,0.006,0.159,0.0031
Q01813,PFKP,1.097,0.3616,1.071,0.5388,0.879,0.1074,1.49,0.0104,1.839,0.019,1.805,0.0053,1.675,0.0032
Q9H307,PNN,0.87,0.1039,0.534,0.0114,0.955,0.6344,0.441,0.0002,0.452,0.0022,0.456,0.0004,0.481,0.0005
P04406,GAPDH,0.993,0.9245,1.175,0.0437,1.354,0.013,1.154,0.5254,1.926,0.0718,3.871,0.0034,1.879,0.0271
Q7Z6Z7,HUWE1,1.045,0.7635,1.319,0.0119,1.593,0.0117,0.947,0.8044,1.487,0.1353,1.292,0.2711,1.184,0.4833
P57740,NUP107,1.111,0.2659,0.944,0.6439,1.09,0.0392,1.131,0.3153,1.303,0.0119,0.841,0.0293,0.948,0.3656
Q9BUJ2,HNRNPUL1,1.32,0.0285,1.176,0.1451,1.2,0.0063,0.438,0.0013,0.481,0.0031,0.537,0.0107,0.496,0.0031
Q8WTT2,NOC3L,0.73,0.0126,0.646,0.002,0.733,0.0003,1.098,0.4597,1.314,0.0715,1.272,0.0952,1.166,0.3222
Q2TAY7,SMU1,0.978,0.7236,0.76,0.0101,0.926,0.1123,0.564,0.0006,0.635,0.0044,0.641,0.001,0.638,0.0027
Q9Y277,VDAC3,1.027,0.8446,1.223,0.0667,0.983,0.8542,4.656,0,2.786,0,2.854,0.0002,2.341,0.0002
Q9HBB3,-,0.526,0.0005,0.762,0.1841,0.729,0.0324,1.68,0.002,1.563,0.0237,1.344,0.0148,1.644,0.0019
P39656,DDOST,1.034,0.7697,1.336,0.0522,0.969,0.6815,3.291,0.0066,2.551,0.0074,3.329,0.006,3.311,0.0061
Q92797,SYMPK,0.832,0.2848,0.61,0.0027,1.155,0.0108,0.761,0.0396,0.801,0.1914,0.745,0.0701,0.841,0.1225
B3KWX7,-,0.822,0.1561,0.739,0.0317,0.871,0.0391,0.634,0.0028,0.641,0.0077,0.625,0.0148,0.712,0.0206
Q63HL4,DKFZp686G04235,0.837,0.0205,1.09,0.3434,1.502,0.001,1.039,0.7823,0.881,0.3437,1.11,0.4232,1.304,0.0408
B2R5U7,-,0.724,0.211,0.639,0.0485,0.708,0.0056,1.045,0.6197,1.387,0.0136,1.131,0.1268,1.097,0.1714
O95758,ROD1,0.955,0.7517,0.702,0.0929,1.035,0.7717,0.301,0.0191,0.309,0.0051,0.298,0.0078,0.336,0.0073
A8K3A8,-,1.363,0.0038,1.538,0.0079,1.176,0.0214,0.776,0.2042,0.819,0.2315,0.841,0.2726,0.774,0.1211
Q04695,KRT17,1.793,0.0572,1.917,0.0342,1.381,0.0039,4.333,0.0493,5.181,0.0229,11.179,0.0262,8.487,0.0107
Q8NE71,ABCF1,0.792,0.2726,0.714,0.0718,0.64,0.014,1.776,0.0034,1.313,0.0339,1.125,0.2875,1.171,0.0929
P10809,HSPD1,1.174,0.0381,0.934,0.2652,1.039,0.4472,0.977,0.5717,0.945,0.3771,0.931,0.168,0.842,0.0285
P18124,RPL7,0.677,0.0011,0.577,0,0.795,0.0004,1.28,0.0026,1.175,0.015,1.166,0.0693,1.218,0.0035
Q5JPE7,NOMO2,1.083,0.3935,1.399,0.0845,1.234,0.0103,1.63,0.0002,1.459,0.0021,1.823,0.0005,2.078,0.0003
P29590,PML,1.632,0.0288,0.926,0.3025,0.959,0.7176,0.372,0.004,0.352,0.003,0.371,0.007,0.354,0.0018
Q15646,OASL,0.536,0.0005,0.468,0.0002,0.559,0.0028,1.314,0.0023,0.591,0.0003,0.548,0,0.58,0.0014
P15880,RPS2,0.771,0.0069,0.599,0.0002,0.938,0.2817,1.378,0.0268,1.228,0.0202,1.433,0.0178,1.261,0.0233
Q07666,KHDRBS1,0.84,0.3807,0.849,0.4251,1.056,0.6361,0.46,0.0033,0.424,0.0034,0.389,0.0019,0.481,0.0003
Q5TZZ9,ANXA1,1.183,0.0009,1.294,0.0012,1.097,0.1821,1.59,0.0011,2.54,0,2.426,0.0001,1.887,0.0003
Q9NYF8,BCLAF1,0.782,0.1469,0.656,0.0487,0.859,0.5103,0.886,0.4332,0.792,0.0558,0.61,0.005,0.786,0.0537
Q9Y2R4,DDX52,0.842,0.1846,0.875,0.4923,0.774,0.0742,1.403,0.0716,1.964,0.0371,1.87,0.0332,1.652,0.0937
Q59FP7,-,0.596,0.011,0.544,0.0266,0.685,0.0015,0.72,0.032,0.511,0.0035,0.475,0.0015,0.544,0.008
O15042,SR140,1.058,0.5503,0.639,0.0007,1.032,0.6663,0.478,0,0.511,0,0.425,0,0.517,0
Q3KQS4,NOP2,0.837,0.0347,0.696,0.0046,0.64,0.0035,1.004,0.9521,1.057,0.4836,0.82,0.0075,1.093,0.2213
Q9BTT5,-,0.848,0.3713,0.985,0.9124,0.864,0.1031,2.262,0.0023,1.35,0.067,1.403,0.07,1.493,0.0357
Q9HD20,ATP13A1,1.152,0.2909,1.102,0.2375,0.952,0.4479,1.617,0.008,1.417,0.0358,1.443,0.0277,1.502,0.0832
Q53GW3,-,1.144,0.2258,1.169,0.0072,1.851,0.0002,0.263,0.0019,0.213,0.0015,0.233,0.0015,0.202,0.0004
P46781,RPS9,0.754,0.0366,0.652,0.0092,0.771,0.0015,1.802,0,1.351,0.0183,1.485,0.0018,1.26,0.0379
P62701,RPS4X,0.701,0.0233,0.563,0.0047,0.785,0.0644,1.341,0.0118,1.193,0.1626,1.203,0.1848,1.032,0.8043
Q6NUK1,SLC25A24,0.939,0.6539,1.49,0.0712,1.055,0.443,2.605,0.0076,1.654,0.0516,2.317,0.0073,2.727,0.0047
P08195,SLC3A2,0.972,0.6532,1.676,0.004,1.546,0.0042,1.386,0.1222,1.751,0.0496,2.116,0.0189,2.052,0.0298
Q14554,PDIA5,1.244,0.0285,1.381,0.0007,1.084,0.1656,0.83,0.2171,0.737,0.0584,0.969,0.7785,0.791,0.3911
Q4LE47,NUP153,1.061,0.3206,0.956,0.7846,0.884,0.0464,1.179,0.0277,1.155,0.088,0.871,0.0785,1.094,0.2824
O43809,NUDT21,0.796,0.0483,0.632,0.0013,1.01,0.874,0.345,0,0.278,0,0.267,0,0.319,0
Q12769,NUP160,1.091,0.301,1.097,0.4623,0.998,0.9227,1.32,0.0401,1.437,0.0075,1.186,0.163,1.101,0.4972
Q96T37,RBM15,0.986,0.8663,0.728,0.0285,1.103,0.2913,0.773,0.2459,0.865,0.4975,0.816,0.379,0.746,0.1749
B2RAU8,-,0.743,0.0887,0.557,0.0634,0.81,0.0648,0.741,0.1046,0.597,0.0069,0.387,0.0349,0.702,0.0239
B0I1S2,-,1.278,0.0412,1.295,0.0055,1.044,0.4491,3.088,0.0175,2.184,0.0196,2.285,0.0247,2.872,0.0197
P37108,SRP14,1.725,0.0036,1.614,0.0679,1.098,0.1503,0.767,0.0519,0.946,0.6928,1.049,0.6885,0.771,0.0812
Q8NCF7,-,0.899,0.5447,1.021,0.719,0.811,0.0953,4.183,0.0081,1.772,0.0335,2.794,0.0138,3.527,0.0121
B3KWV6,-,1.206,0.0016,1.739,0.0005,1.182,0.0289,0.894,0.3679,1.021,0.8357,1.274,0.1905,1,0
Q9Y512,SAMM50,1.124,0.1408,1.327,0.0262,0.964,0.7167,5.359,0,2.964,0.0004,3.174,0.0003,3.479,0.0001
Q6IB58,FLOT1,0.994,0.9527,1.066,0.6538,0.956,0.3897,1.878,0.0077,1.905,0.0081,2.018,0.0071,1.839,0.0116
Q9HCC0,MCCC2,0.75,0.0186,1.166,0.041,0.863,0.0308,1.206,0.0234,0.743,0.0018,0.993,0.913,0.705,0.0004
B7Z8F4,-,0.71,0.0039,0.475,0.0001,0.967,0.5677,0.412,0.0001,0.385,0.0001,0.325,0.0002,0.467,0.0001
Q8IYB8,SUPV3L1,0.994,0.9498,1.016,0.8432,0.864,0.0902,0.656,0.0778,0.631,0.074,0.57,0.0449,0.623,0.0536
Q53XM7,VAPB,0.877,0.5279,1.091,0.5563,0.986,0.9704,2.104,0.0412,1.382,0.3433,1.776,0.0182,1.849,0.0383
A7BI36,RRBP1,1.034,0.8416,1.372,0.0475,1.405,0.007,0.417,0.0426,0.341,0.0153,0.358,0.0191,0.43,0.0197
Q53GY4,-,1.44,0.0069,1.764,0.0056,1.137,0.0197,0.82,0.048,0.962,0.7421,1.093,0.43,0.952,0.5649
P13645,KRT10,1.421,0.0079,1.569,0.0256,2.177,0.004,0.584,0.0425,0.563,0.0227,0.585,0.0462,0.459,0.009
Q53F02,-,0.805,0.0385,0.516,0.0075,1.162,0.0403,0.358,0.0001,0.375,0,0.309,0,0.4,0
A8K6Q8,-,0.896,0.343,1.064,0.4852,0.991,0.9036,1.538,0.0976,1.546,0.0966,1.997,0.0352,2.012,0.0462
P23229,ITGA6,1.171,0.2441,1.178,0.3614,1.045,0.6743,2.338,0.0357,2.347,0.0276,2.774,0.0251,2.433,0.033
Q6KC79,NIPBL,0.986,0.8681,1.206,0.1589,0.899,0.099,1.912,0.012,1.96,0.0085,1.7,0.0204,1.675,0.0258
Q8WYP5,AHCTF1,1.139,0.2023,1.092,0.3282,1.01,0.8831,1.483,0.0162,1.444,0.0354,1.272,0.0928,1.387,0.1059
Q86U42,PABPN1,0.857,0.3272,0.706,0.1016,1.345,0.109,0.114,0.03,0.104,0.0198,0.114,0.029,0.118,0.0331
Q13151,HNRNPA0,1.122,0.6815,0.819,0.516,1.39,0.1711,0.144,0.0044,0.152,0.0097,0.14,0.0024,0.154,0.0003
Q53HH2,-,0.89,0.292,1.088,0.4684,0.879,0.2195,3.005,0.0015,1.482,0.0176,2.839,0.0018,2.738,0.0029
Q9UKV3,ACIN1,1.229,0.1689,0.576,0.0037,1.02,0.7481,0.491,0.046,0.562,0.1731,0.514,0.0786,0.515,0.26
Q96FV9,THOC1,1.294,0.0322,0.729,0.0098,0.994,0.9236,0.399,0.0062,0.402,0.005,0.417,0.0068,0.469,0.0089
Q9Y265,RUVBL1,0.775,0.0426,0.681,0.0574,0.861,0.0425,1.052,0.6766,1.285,0.134,0.999,0.9941,1.213,0.267
Q53QM2,ACTR3,1.188,0.2215,1.062,0.8204,1.198,0.0673,0.564,0.01,0.53,0.0099,0.485,0.0065,0.595,0.0077
Q9Y2U8,LEMD3,1.093,0.2213,1.06,0.4377,0.767,0.0071,3.013,0.0067,2.58,0.0071,3.101,0.0043,2.943,0.0072
Q5T8U4,RPL7A,0.656,0.0264,0.547,0.009,0.67,0.0163,1.505,0.0705,1.376,0.0285,1.38,0.0579,1.309,0.1206
Q8TDN6,BRIX1,0.687,0.0499,0.585,0.0091,0.719,0.0392,1.037,0.6881,0.969,0.7644,1.153,0.1299,1.043,0.9108
P62280,RPS11,0.572,0.0088,0.42,0.0008,0.625,0.0078,1.213,0.1546,1.114,0.3147,1.015,0.9111,1.189,0.133
B7Z823,-,1.292,0.001,1.134,0.0191,1.114,0.1007,0.512,0,0.543,0,0.633,0.0001,0.57,0
P51149,RAB7A,1.023,0.745,1.245,0.1846,1.076,0.416,2.471,0.012,2.181,0.0255,3.151,0.0041,3.094,0.0035
O15381,NVL,0.661,0.0392,0.728,0.0467,0.817,0.2066,1.196,0.1046,1.028,0.743,0.936,0.5196,1.153,0.1513
B4DRJ2,-,1.075,0.0352,1.05,0.6786,1.215,0.0009,0.356,0.0003,0.385,0.0008,0.399,0.0013,0.402,0.0269
Q9BUQ8,DDX23,1.066,0.3391,1.105,0.5292,0.908,0.1021,0.805,0.0177,0.899,0.2562,0.818,0.0763,0.877,0.06
Q8TA92,-,0.885,0.046,0.987,0.8254,0.799,0.0168,2.069,0.0019,1.451,0.015,1.662,0.007,1.663,0.0152
Q13751,LAMB3,1.153,0.2883,1.426,0.099,0.973,0.6379,1.515,0.0002,1.738,0.0025,1.78,0.0018,1.647,0.0023
O43290,SART1,1.019,0.8959,1.053,0.7348,0.956,0.5245,0.532,0.0029,0.57,0.0158,0.567,0.0065,0.67,0.0094
Q86W42,THOC6,1.272,0.005,0.727,0.0141,0.995,0.9523,0.293,0.0008,0.321,0.0022,0.345,0.0002,0.361,0.0004
Q14739,LBR,0.914,0.5194,1.033,0.8711,0.78,0.0339,1.895,0.1751,1.729,0.249,1.885,0.1688,1.731,0.2163
Q12996,CSTF3,1.076,0.4501,0.601,0.0007,1.272,0.0186,0.332,0.0018,0.306,0.0038,0.267,0.0017,0.326,0.0031
Q9HCS7,XAB2,0.727,0.0091,0.606,0.0142,0.888,0.0177,0.436,0.0039,0.488,0.0032,0.398,0.0022,0.482,0.0019
Q9UQ80,PA2G4,1.196,0.1413,0.964,0.7342,1.007,0.9385,0.563,0.0087,0.485,0.0123,0.503,0.0078,0.493,0.007
Q8N766,KIAA0090,1.027,0.8717,1.315,0.0904,0.954,0.6589,2.642,0.0031,1.903,0.0071,1.855,0.0089,2.108,0.003
Q6LAP8,-,1.067,0.5513,1.342,0.0042,1.017,0.8168,4.094,0.0026,2.933,0.0045,4.006,0.0028,3.014,0.0018
Q9NXF1,TEX10,0.739,0.0225,0.789,0.3207,0.784,0.0291,1.116,0.3147,1.158,0.137,1.062,0.5333,1.187,0.1363
O14979,HNRPDL,0.967,0.8858,0.754,0.2012,1.416,0.0602,0.309,0.0165,0.323,0.0206,0.296,0.0175,0.333,0.0177
P35908,KRT2,1.404,0.4196,1.47,0.2339,1.965,0.0478,0.87,0.6242,0.764,0.1963,0.741,0.1815,0.576,0.0104
Q9UKN8,GTF3C4,1.199,0.0497,0.797,0.1763,0.925,0.1283,0.655,0.0156,0.851,0.1909,0.708,0.0208,0.757,0.0353
A8K146,-,1.221,0.092,1.189,0.2649,1.107,0.1087,0.416,0.0002,0.538,0.0025,0.502,0.0039,0.514,0.0004
Q9BTQ7,-,0.642,0.0293,0.605,0.0025,0.75,0.0037,1.185,0.1129,0.925,0.279,0.973,0.7072,1.019,0.7569
Q5VTI5,PLEKHA6,1.548,0.0624,1.094,0.5309,1.143,0.0521,0.599,0.0349,0.653,0.149,0.61,0.1012,0.643,0.0533
Q86UP2,KTN1,1.156,0.3221,1.24,0.1802,1.314,0.0636,0.622,0.0275,0.518,0.0178,0.529,0.0186,0.677,0.0228
Q59EA2,-,0.853,0.1121,0.993,0.9498,1.079,0.0733,1.003,0.9626,0.727,0.0014,0.638,0,0.826,0.0018
Q6NXG1,ESRP1,1.281,0.2055,1.009,0.9721,1.285,0.0205,0.451,0.0509,0.463,0.0137,0.466,0.0236,0.432,0.0305
Q8WXH0,SYNE2,0.866,0.1052,0.935,0.3422,0.97,0.7566,0.717,0.0283,0.737,0.0138,0.763,0.0471,0.702,0.0329
P04637,TP53,0.71,0.0285,0.621,0.0046,0.803,0.0489,1.065,0.5989,0.929,0.5596,0.96,0.7193,0.836,0.1087
P36776,LONP1,0.897,0.3957,0.868,0.0483,1.193,0.158,0.626,0.0095,0.614,0.0033,0.652,0.0132,0.608,0.001
O95347,SMC2,0.674,0.014,0.6,0.0035,0.686,0.0031,1.058,0.5181,0.859,0.0438,0.691,0.0005,0.708,0.0007
O94826,TOMM70A,0.923,0.4685,0.895,0.3818,0.845,0.025,1.398,0.0717,0.775,0.0684,0.851,0.0599,1.091,0.4737
P52701,MSH6,0.974,0.7317,0.921,0.5216,0.782,0.0006,1.758,0.045,1.551,0.0432,1.448,0.077,1.427,0.0975
Q57Z92,RPS7,0.79,0.4441,1.022,0.9281,0.768,0.0676,1.454,0.0043,1.204,0.1228,1.18,0.1537,1.072,0.7505
Q9H7G6,-,0.729,0.0015,0.62,0.0011,1.012,0.7722,0.149,0.0009,0.139,0.0017,0.145,0.0022,0.188,0.2349
Q6ZRV2,FAM83H,1.147,0.1703,1.198,0.1967,0.918,0.3319,3.661,0.0031,2.586,0.0036,2.176,0.0097,2.815,0.0011
Q9UK61,C3orf63,0.949,0.5393,0.727,0.0562,0.969,0.6432,0.663,0.0036,0.617,0.0032,0.625,0.0004,0.62,0.0012
Q5JY65,CRNKL1,0.733,0.0063,0.546,0.012,0.854,0.0406,0.435,0.0014,0.551,0.0057,0.495,0.0022,0.502,0.0042
Q53FI1,-,1.249,0.1094,1.307,0.0406,1.424,0.0344,1.342,0.1591,2.198,0.0454,2.11,0.0474,1.741,0.0757
O94973,AP2A2,1.056,0.7354,1.132,0.5191,1.269,0.0555,0.554,0.0203,0.554,0.0212,0.631,0.0453,0.656,0.0171
Q08380,LGALS3BP,1.174,0.3092,1.166,0.168,1.396,0.0106,1.093,0.4982,1.131,0.3753,1.159,0.2998,1.319,0.1448
Q9UNX4,WDR3,0.707,0.0258,0.709,0.2279,0.628,0.0025,1.051,0.7892,1.231,0.323,0.857,0.4407,0.99,0.9568
Q9Y230,RUVBL2,0.846,0.0137,0.841,0.1332,0.913,0.0952,1.02,0.7994,1.104,0.3094,1.007,0.9279,1.14,0.1821
C9J8W7,hCG_18290,0.45,0.0058,0.364,0.0018,0.768,0.0258,1.593,0.0003,1.184,0.0463,1.367,0.0112,1.551,0.0003
Q5TZP7,APEX1,1.416,0.0912,1.139,0.0758,1.021,0.7175,0.402,0.0071,0.34,0.0029,0.329,0.0116,0.369,0.0126
Q96L91,EP400,0.881,0.4102,0.754,0.0577,0.868,0.0212,1.023,0.8656,1.013,0.9351,0.933,0.6529,1.128,0.393
Q9UIF9,BAZ2A,0.81,0.0327,0.821,0.0915,0.841,0.2837,0.883,0.3225,0.863,0.2321,0.815,0.1989,0.819,0.18
P22314,UBA1,1.193,0.0489,1.182,0.147,1.247,0.0545,1.189,0.3004,1.761,0.0304,1.719,0.0374,1.363,0.1163
Q2VIR3,EIF2S3L,0.925,0.3664,0.88,0.0175,0.794,0.0051,0.581,0.0085,0.484,0.012,0.489,0.0034,0.503,0.002
Q9UK43,CSA2,0.797,0.1014,0.489,0.0187,0.713,0.0341,0.455,0.0108,0.495,0.0428,0.464,0.0406,0.521,0.0192
Q9BWM7,SFXN3,0.999,0.9955,1.493,0.0555,1.207,0.0582,1.65,0.1091,1.759,0.1157,2.55,0.0595,2.391,0.0481
C9J8I1,PARP14,0.712,0.0726,0.82,0.3253,0.889,0.4329,1.676,0.0206,1.355,0.051,1.518,0.0503,1.758,0.0215
Q96SK2,TMEM209,1.159,0.0608,1.334,0.0101,0.93,0.0472,1.59,0.0317,1.672,0.0309,1.472,0.0622,1.453,0.054
Q8NFH5,NUP35,1.221,0.2079,1.156,0.478,0.725,0.1588,3.6,0.0681,3.614,0.0204,2.503,0.1134,3.131,0.0306
P09012,SNRPA,0.748,0.0619,0.674,0.2731,0.992,0.9043,0.358,0.045,0.277,0.0343,0.271,0.0449,0.398,0.0303
O15187,TIAL1,0.774,0.0859,0.655,0.0361,1.422,0.0267,0.223,0.034,0.221,0.0369,0.215,0.0385,0.21,0.0312
Q15061,WDR43,0.74,0.0211,0.708,0.0182,0.65,0.012,1.021,0.8825,1.173,0.3769,0.911,0.3763,1.044,0.7465
Q9NTJ3,SMC4,0.6,0.077,0.6,0.1378,0.617,0.0837,1.134,0.1251,0.83,0.0247,0.641,0.0044,0.721,0.0968
B2RBR9,-,1.142,0.1577,0.561,0.0209,1.222,0.0727,0.42,0.0045,0.43,0.005,0.406,0.0026,0.38,0.0021
Q9BSC4,NOL10,0.827,0.0604,0.763,0.0253,0.813,0.0873,0.826,0.4411,0.981,0.9447,0.872,0.5998,0.832,0.4165
Q14008,CKAP5,1.111,0.2577,0.805,0.0076,0.911,0.2427,1.245,0.0459,0.793,0.1516,0.737,0.167,0.96,0.6234
Q99714,HSD17B10,0.86,0.6515,1.097,0.1795,1.064,0.5274,0.56,0.001,0.616,0.0146,0.583,0.0002,0.447,0.0004
O43707,ACTN4,1.103,0.0113,1.479,0.0107,1.78,0.0004,0.527,0.0423,0.636,0.0744,0.647,0.0593,0.63,0.0795
Q14789,GOLGB1,0.736,0.0162,1.039,0.5249,1.156,0.0688,0.669,0.0415,0.558,0.011,0.536,0.0098,0.649,0.0647
Q8IX12,CCAR1,1.111,0.4048,1.1,0.4403,1.207,0.1239,0.53,0.0301,0.495,0.026,0.568,0.008,0.551,0.0437
O96008,TOMM40,1.188,0.1277,1.475,0.001,1.292,0.068,1.75,0.0369,1.23,0.1222,1.241,0.1263,1.237,0.5145
Q53GX7,-,1.012,0.8536,1.537,0.011,1.308,0.0008,0.242,0.0001,0.296,0.0001,0.27,0.0001,0.252,0.0517
Q92879,CUGBP1,0.554,0.0206,0.406,0.0161,1.127,0.1528,0.299,0.0394,0.326,0.0826,0.278,0.0522,0.235,0.0187
Q15269,PWP2,0.664,0.0472,0.582,0.0319,0.636,0.0154,1.104,0.3452,1.461,0.0236,1.116,0.1978,1.157,0.1215
Q96C19,EFHD2,1.098,0.3661,0.802,0.0637,1.528,0.0002,0.158,0,0.157,0,0.156,0,0.172,0
Q9HCG8,CWC22,0.741,0.0023,0.633,0.0287,0.855,0.0236,0.531,0.0043,0.552,0.0012,0.538,0.0013,0.582,0.0034
Q7Z4W8,-,0.561,0.0021,0.557,0.0247,0.631,0.0082,1.156,0.3612,0.919,0.1968,0.937,0.5286,0.979,0.7838
P60842,EIF4A1,0.887,0.5865,1.167,0.5689,0.837,0.0126,1.624,0.3305,2.698,0.1619,2.001,0.2048,1.817,0.2525
Q2HXW2,PRKCBP1,1.265,0.0186,1.146,0.2203,1.086,0.2833,0.625,0.0802,0.737,0.22,0.747,0.1275,0.557,0.0475
Q969G3,SMARCE1,0.935,0.6643,0.791,0.0797,1.001,0.989,0.361,0.0502,0.334,0.0503,0.33,0.0445,0.355,0.0257
Q969X6,CIRH1A,0.686,0.0326,0.613,0.0188,0.654,0.0572,0.984,0.9382,1.321,0.164,1.013,0.9358,1.02,0.8994
O75477,ERLIN1,1.166,0.4308,1.413,0.0946,0.927,0.5393,3.525,0.0053,2.768,0.0112,2.649,0.0169,2.665,0.0229
P05023,ATP1A1,1.042,0.4362,1.249,0.1639,1.169,0.1099,1.6,0.0618,1.271,0.2776,2.134,0.0167,2.255,0.0161
O75521,PECI,1.019,0.8924,1.202,0.137,0.989,0.6135,0.46,0.0005,0.352,0.0009,0.389,0.0004,0.389,0.0039
Q53FS0,-,1.053,0.7323,0.888,0.46,1.113,0.558,0.428,0.0111,0.428,0.001,0.426,0.002,0.468,0.0023
B4DR87,-,0.842,0.0893,1.004,0.965,1.444,0.0067,0.638,0.0013,0.665,0.0027,0.745,0.0088,0.755,0.0105
Q9UBU9,NXF1,1.56,0.0102,1.482,0.0068,1.051,0.4557,0.981,0.8942,1.012,0.9272,0.791,0.0443,0.856,0.253
P56192,MARS,1.429,0.001,1.83,0,1,0.9995,1.646,0.0038,1.739,0.0047,2.393,0.0029,1.522,0.0106
Q9H4E3,E4-DBP,0.742,0.0331,0.708,0.034,0.802,0.0195,1.091,0.5278,1.218,0.2395,1.263,0.1506,1.28,0.1417
Q12797,ASPH,0.925,0.6752,1.585,0.0044,1.131,0.0589,0.563,0.001,0.485,0.0005,0.605,0.0012,0.59,0.001
