Accession,Name,X115.114,PVal.115.114,X116.114,PVal.116.114,X117.114,PVal.117.114
Q6PKG0,LARP1,0.671,0.0509,0.733,0.0243,0.795,0.0626
Q9BUQ8,DDX23,1.076,0.111,1.125,0.000978,1.208,0.000713
Q15293,RCN1,0.84,4.37E-06,0.716,2.26E-12,1.062,0.3
Q53FC3,Q53FC3,1.251,0.000231,1.387,3.43E-07,1.289,0.000441
P16152,CBR1,0.72,5.67E-05,0.793,8.35E-05,0.81,0.000451
B7Z6K2,B7Z6K2,1.261,1.45E-06,1.315,2E-07,1.328,1.11E-05
Q15691,MARE1,0.692,2.16E-05,0.788,2.81E-05,0.857,0.000873
Q02543,RL18A,0.803,0.00488,0.9,0.108,0.984,0.836
P23526,SAHH,0.681,1.52E-12,0.737,2.81E-13,0.841,4.78E-08
B7Z3K9,B7Z3K9,1.699,2.23E-11,1.728,9.92E-11,1.472,1.99E-08
Q2HXW2,Q2HXW2,1.207,0.00947,1.223,0.00682,1.026,0.643
P38919,IF4A3,1.162,0.000943,1.095,0.00494,1.282,7.1E-07
Q9NX24,NHP2,1.328,9.62E-06,1.217,0.00034,1.147,0.00223
Q6IAU5,Q6IAU5,0.799,0.0212,0.804,0.00718,1.02,0.782
Q9BRK5,CAB45,1.292,7.57E-05,1.016,0.619,1.052,0.322
Q15418,KS6A1,0.81,0.0194,0.921,0.0133,0.832,0.0231
Q13523,PRP4B,1.216,0.0121,1.16,0.0153,1.152,0.0283
O14776,TCRG1,1.336,0.00373,1.082,0.186,1.222,0.0195
C9J6D7,C9J6D7,0.849,0.0499,0.817,0.0103,0.972,0.3
O15460,P4HA2,1.705,1.31E-07,1.614,3.52E-07,1.568,1.54E-05
Q8IX12,CCAR1,1.362,0.00388,1.113,0.0674,1.192,0.00751
P31942,HNRH3,1.247,6.11E-07,1.14,1.78E-05,1.058,0.0555
Q6NZX3,Q6NZX3,1.133,0.0194,1.219,0.000505,1.344,0.000245
Q9H3U1,UN45A,0.807,0.000183,0.855,1.14E-05,0.799,0.000398
Q59F99,Q59F99,0.832,0.00227,0.829,0.000312,0.862,0.000422
Q9BYG3,MK67I,1.286,2.21E-05,1.106,0.0242,1.207,0.00399
P35573,GDE,0.594,0.000828,0.703,1.6E-05,0.834,0.0126
Q9Y6D5,BIG2,0.815,0.0072,0.844,0.00871,0.874,0.0504
Q9Y305,ACOT9,0.954,0.292,1.173,0.00285,1.262,0.000287
Q59GX2,Q59GX2,0.955,0.436,1.213,0.00145,0.724,2.36E-05
B7Z3X9,B7Z3X9,1.088,0.355,1.247,0.00419,1.088,0.097
B7Z8Y4,B7Z8Y4,1.279,0.0211,1.18,0.00311,1.216,0.0118
P09622,DLDH,0.872,0.0412,0.791,3.29E-05,0.865,0.0064
Q14966,ZN638,1.345,0.00445,1.146,0.0271,1.144,0.0953
Q14257,RCN2,0.809,0.00605,0.761,0.000461,1.018,0.727
Q9HAV4,XPO5,0.911,0.266,0.829,0.00408,0.95,0.394
Q15050,RRS1,1.41,6.31E-06,1.176,0.000995,1.191,0.000195
Q9H3P7,GCP60,0.804,0.0176,0.764,0.000808,0.866,0.0596
Q32Q12,Q32Q12,0.558,1.98E-24,0.614,7.08E-25,0.632,8.51E-27
P14550,AK1A1,0.659,0.000102,0.843,0.00398,0.926,0.226
O95782,AP2A1,1.095,0.178,1.147,0.0153,1.231,0.00101
B9EKV4,B9EKV4,0.862,0.00538,0.899,0.128,0.813,0.0129
Q9NZN4,EHD2,0.746,0.000549,0.523,4.6E-07,0.537,4.25E-05
Q5SRE5,NU188,1.299,0.00846,1.198,0.0011,1.211,0.00408
Q53G21,Q53G21,1.249,5.14E-06,1.099,0.00316,1.06,0.127
Q96F88,Q96F88,1.305,0.0229,1.115,0.238,1.013,0.788
Q05DH1,Q05DH1,0.654,7.94E-05,0.729,0.00179,0.907,0.0122
Q9H1B7,EAP1,0.789,0.0257,0.747,0.000501,0.916,0.157
Q96T88,UHRF1,0.955,0.516,0.909,0.0375,1.299,0.00345
Q59FQ1,Q59FQ1,1.728,4.48E-07,1.573,1.52E-07,1.064,0.167
P49721,PSB2,0.666,2.8E-06,0.731,1.39E-08,0.846,0.00409
Q9Y5K6,CD2AP,0.727,0.00183,0.776,0.00387,0.863,0.0232
Q5T8U4,Q5T8U4,0.811,0.0037,0.862,0.00135,0.99,0.847
B4DHQ3,B4DHQ3,0.518,2.76E-05,0.585,1.04E-06,0.655,9.32E-05
Q6FGQ4,Q6FGQ4,2.155,8.69E-10,1.299,7.16E-09,1.257,4.92E-05
Q8NFH5,NUP53,1.308,0.00055,1.141,0.00261,1.125,0.063
O60832,DKC1,1.151,0.00238,1.131,0.00249,1.291,1.9E-06
Q8TAT6,NPL4,0.827,0.00668,0.836,0.000417,0.817,0.00149
Q5T0G8,Q5T0G8,1.23,0.00285,1.371,1.87E-07,1.238,1.73E-05
Q68CQ5,Q68CQ5,0.713,2.07E-06,0.864,0.00485,0.958,0.447
B4DUB7,B4DUB7,0.756,0.00487,0.891,0.0824,1.006,0.917
Q9Y2R4,DDX52,1.287,2.68E-06,1.171,7.27E-05,1.065,0.228
P19525,E2AK2,0.741,0.00315,0.825,0.0174,1.011,0.859
P27348,1433T,0.76,0.0012,0.831,0.00305,0.928,0.333
P24534,EF1B,0.848,0.0487,0.781,0.00199,0.89,0.0889
Q3KQS4,Q3KQS4,1.232,0.00224,1.083,0.0752,1.099,0.0276
Q96T37,RBM15,1.245,0.0154,1.162,0.00298,1.064,0.175
Q53Z07,Q53Z07,0.815,8.22E-05,0.886,0.000203,1.001,0.989
B2RCM3,B2RCM3,0.815,0.0386,0.928,0.319,0.849,0.0233
Q6IAX5,Q6IAX5,0.78,0.000262,0.817,0.00285,1.014,0.741
Q9BTD8,RBM42,1.226,0.000906,1.093,0.193,1.073,0.333
Q9UMD9,COHA1,1.184,0.0167,1.283,3.13E-05,1.567,7.25E-06
Q1RN33,Q1RN33,0.761,0.00722,0.852,0.000311,0.734,7.71E-07
Q99733,NP1L4,0.643,2.77E-05,0.756,1.09E-05,0.755,0.00934
Q8NI36,WDR36,1.261,0.00067,1.127,0.000245,1.186,0.00127
Q6FI51,Q6FI51,0.736,0.000681,0.779,1.77E-06,0.904,0.101
Q6MZV5,Q6MZV5,0.657,7.05E-06,0.715,5.39E-05,0.671,1.75E-06
P62495,ERF1,0.833,0.214,0.819,0.00123,0.775,0.000736
Q68E01,INT3,1.204,0.00177,1.122,0.033,1.047,0.433
P30040,ERP29,0.999,0.979,0.802,7.87E-12,0.969,0.326
B7Z823,B7Z823,1.214,0.0089,1.114,0.0192,1.17,0.00832
Q12904,AIMP1,0.795,2.54E-05,0.804,2.9E-05,0.839,3.48E-05
Q53FT8,Q53FT8,0.809,0.000855,0.844,0.000732,0.868,0.0135
Q13765,NACA,0.679,0.000154,0.615,2.46E-06,0.814,0.00629
Q96EP5,DAZP1,1.235,0.0188,1.187,0.00455,1.084,0.133
Q9NY61,AATF,1.694,4.78E-05,1.247,0.000847,1.186,0.0493
Q5JR94,Q5JR94,0.828,3.23E-08,0.882,3.21E-07,0.905,0.00682
Q96FD7,Q96FD7,0.822,0.00396,0.899,0.0832,0.818,0.0024
O76094,SRP72,0.743,0.0172,0.549,0.0295,0.643,0.147
Q9H5V8,CDCP1,1.309,0.00479,1.374,0.000918,1.08,0.118
P37802,TAGL2,0.732,3.99E-08,0.863,3.05E-08,0.775,0.000795
A8K146,A8K146,1.29,0.00498,1.15,0.0107,0.975,0.621
Q9BTT9,Q9BTT9,0.748,0.00949,0.981,0.729,1.035,0.362
A8MUW5,A8MUW5,0.775,0.00845,0.811,0.00722,1.009,0.905
Q9BTW9,TBCD,0.787,0.00026,0.894,0.025,0.828,0.0131
P18085,ARF4,0.694,0.00357,0.8,0.00373,0.852,0.086
P67936,TPM4,0.908,0.114,1.037,0.407,1.304,0.0055
Q59FE8,Q59FE8,1.167,0.0062,1.031,0.214,1.247,0.000442
P49720,PSB3,0.696,3.5E-06,0.79,0.000183,0.791,0.0084
Q53Y44,Q53Y44,0.662,1.58E-16,0.816,6.35E-11,0.822,4.32E-07
Q9H1A4,APC1,1.286,0.0775,1.246,0.0209,1.182,0.00571
P61289,PSME3,0.73,1.73E-05,0.699,9.569999999999999E-10,0.981,0.648
P30049,ATPD,0.784,0.00358,0.952,0.56,1.041,0.536
Q5T5P2,SKT,1.282,0.0141,1.175,0.0152,0.972,0.585
O95336,6PGL,0.714,0.000215,0.768,0.00103,0.759,0.00012
Q14739,LBR,1.258,9.07E-05,1.208,1.79E-06,0.935,0.152
O95786,DDX58,0.586,0.000307,0.74,0.000326,0.783,0.00524
Q969G5,PRDBP,1.086,0.468,1.248,0.0353,1.07,0.652
P09913,IFIT2,0.562,9.06E-07,0.656,5.66E-09,0.586,2.04E-07
B7Z6Q5,B7Z6Q5,1.106,0.107,1.133,0.00195,1.268,2.85E-05
Q71TU5,Q71TU5,0.992,0.924,1.166,0.0249,1.271,0.00813
Q96I25,SPF45,1.188,0.019,1.211,0.00459,1.201,0.000353
Q53TK1,Q53TK1,0.92,0.143,0.971,0.552,0.723,9.02E-05
Q5T7J1,Q5T7J1,0.508,0.000156,0.627,3.31E-05,0.58,1.97E-06
Q96CM8,ACSF2,1.063,0.369,1.151,0.0113,1.212,0.0153
P17931,LEG3,0.991,0.813,0.962,0.349,0.792,0.000232
O75821,EIF3G,0.775,0.00181,0.713,4.29E-06,0.732,0.000144
Q9Y266,NUDC,0.59,9.55E-05,0.638,1.51E-07,0.741,6.53E-06
Q9UHG3,PCYOX,1.1,0.0545,1.277,3.01E-05,1.165,0.000621
Q99497,PARK7,0.733,2.88E-07,0.78,2.58E-07,0.915,0.0302
P46109,CRKL,0.894,0.00536,0.921,0.0265,0.829,2.16E-05
Q9UGP6,Q9UGP6,0.674,3.38E-05,0.801,0.0054,0.86,0.0308
P56537,IF6,0.761,0.00344,0.979,0.711,1.133,0.0336
P17096,HMGA1,0.828,0.0383,1.084,0.474,0.804,0.0342
Q2TB59,Q2TB59,0.795,0.000146,0.93,0.0435,1.007,0.88
Q99715,COCA1,1.65,0.0517,1.57,0.0219,1.27,0.0396
B1AKJ5,B1AKJ5,0.649,0.000819,0.75,0.00174,0.72,9.05E-05
Q9Y285,SYFA,0.887,0.0173,0.817,0.00127,0.899,0.0123
Q96KP4,CNDP2,0.661,0.000358,0.766,0.00105,0.852,0.00279
Q9BPX3,CND3,0.737,0.000172,0.76,0.000191,0.707,0.000271
Q53GA4,PHLA2,0.975,0.733,0.843,0.0153,0.782,0.00263
Q9Y6M1,IF2B2,0.819,0.00475,0.839,0.00164,0.926,0.0962
B4DG11,B4DG11,0.728,3.08E-05,0.845,0.0233,0.786,0.00342
P15586,GNS,1.218,0.000505,0.97,0.217,1.035,0.47
Q13753,LAMC2,1.304,0.00905,1.398,0.000364,1.308,2.38E-05
P46783,RS10,0.847,5.69E-05,0.866,4.61E-05,0.827,1.01E-05
B4DWA6,B4DWA6,0.788,0.000191,0.951,0.188,1.124,0.00196
Q8WXX5,DNJC9,0.809,0.0348,0.958,0.433,0.971,0.684
O94888,UBXN7,0.778,0.000268,0.756,0.000583,0.926,0.239
Q5T8U7,Q5T8U7,1.193,0.000465,1.355,1.84E-05,1.132,0.000443
Q9BTT6,LRRC1,1.19,0.0602,1.147,0.0252,1.289,0.000314
Q6IAX2,Q6IAX2,0.82,0.00188,0.932,0.12,0.985,0.814
P12429,ANXA3,1.075,0.18,1.374,1.63E-06,1.313,4.57E-06
P20591,MX1,0.611,0.00157,0.673,0.00108,1.036,0.355
Q14344,GNA13,1.376,4.73E-06,1.421,8.05E-07,1.085,0.124
B2R9U2,B2R9U2,0.61,1.75E-06,0.708,4.74E-06,0.873,0.0443
Q9Y3T9,NOC2L,1.32,0.0146,1.174,0.0234,1.272,0.00174
Q9NX58,LYAR,1.392,0.000315,1.35,1.83E-05,1.427,1.77E-05
Q59E99,Q59E99,1.011,0.852,1.25,0.00924,1.943,0.00991
P50895,BCAM,0.836,0.00032,0.836,0.000337,0.792,0.00443
Q14694,UBP10,0.805,0.0264,0.789,0.0031,0.879,0.0109
Q5T6L4,Q5T6L4,0.62,4.68E-05,0.66,7.83E-06,0.711,0.000796
Q1HBJ4,Q1HBJ4,0.791,0.0216,0.912,0.0716,0.856,0.0479
Q8N3D4,EH1L1,0.628,0.0971,0.672,0.0456,0.714,0.035
Q8TDN6,BRX1,0.988,0.843,1.079,0.00651,1.303,0.00293
Q8N1G4,LRC47,0.821,0.00122,0.81,1.48E-06,0.792,4.37E-06
P23368,MAOM,0.759,5.99E-05,0.797,0.000285,0.938,0.23
Q9ULX6,AKP8L,1.279,0.00478,1.492,0.102,1.139,0.0569
O14617,AP3D1,0.741,0.0244,0.876,0.0196,0.986,0.844
Q14978,NOLC1,1.095,0.556,1.014,0.878,1.475,0.0151
P61619,S61A1,1.352,0.00262,1.26,0.000128,0.852,0.272
P10599,THIO,0.677,4.6E-08,0.729,3.62E-09,0.621,1.9E-08
O43592,XPOT,0.63,0.0033,0.801,0.00823,0.853,0.0241
P06865,HEXA,1.261,0.00151,1.067,0.118,1.129,0.00334
P09758,TACD2,1.475,2.85E-09,1.519,9.4E-10,1.141,0.00336
Q9H0H5,RGAP1,1.319,3.65E-05,1.252,7.81E-06,1.166,0.049
Q6FHF5,Q6FHF5,0.592,0.00126,0.653,0.000876,0.701,0.000384
P11172,PYR5,0.774,0.00246,0.852,0.00383,0.843,0.00498
Q5JTV8,TOIP1,1.327,0.00138,1.207,0.00589,1.137,0.0235
Q2TU77,Q2TU77,0.667,9.52E-11,0.721,1.05E-09,0.807,1.54E-07
Q6I9T3,Q6I9T3,0.696,3.68E-05,0.792,0.00039,0.751,0.0523
Q9HD20,AT131,0.952,0.652,1.155,0.0093,1.24,0.00144
O60488,ACSL4,1.311,0.00817,1.204,0.0166,1.262,0.00222
Q16401,PSMD5,0.737,8.22E-05,0.849,0.00329,0.873,0.03
P00441,SODC,0.691,6.85E-08,0.722,2.61E-08,0.757,1.38E-05
Q8N7G1,Q8N7G1,0.752,0.00769,0.908,0.0546,0.966,0.384
P10586,PTPRF,0.969,0.779,1.04,0.376,0.768,0.0105
O60271,JIP4,0.814,0.0492,0.891,0.418,0.804,0.0242
Q96P70,IPO9,0.768,0.00721,0.855,0.0463,0.801,0.000643
P85037,FOXK1,0.972,0.823,0.955,0.452,1.209,0.00247
Q8N8A6,DDX51,1.457,0.0089,1.158,0.0379,1.121,0.276
Q4LE54,Q4LE54,1.235,0.00179,1.254,0.00116,1.143,0.0152
P25398,RS12,0.814,0.123,0.681,0.00338,0.811,0.0702
Q9HCE1,MOV10,0.736,0.0222,0.771,0.00145,0.796,0.012
P38606,VATA,0.789,0.0208,0.865,0.0185,0.953,0.431
Q9Y295,DRG1,0.749,0.000689,0.814,0.00134,0.999,0.986
Q53GU8,Q53GU8,1.29,0.00159,1.36,0.000201,1.459,5.52E-05
B4E324,B4E324,1.446,1.93E-05,1.358,8.73E-06,1.465,0.000184
P40925,MDHC,0.596,4.64E-13,0.675,8.85E-13,0.72,1.72E-09
Q2TU84,Q2TU84,0.683,0.00039,0.685,0.000114,0.673,0.000192
Q15185,TEBP,0.801,0.00437,0.86,0.00549,0.82,1.87E-07
Q59EK3,Q59EK3,0.819,0.00166,0.894,0.0327,0.87,0.229
Q9BSC4,NOL10,1.439,0.00018,1.28,0.00059,1.212,0.0195
Q53H82,LACB2,0.824,0.00127,0.848,0.0125,0.852,0.0735
Q53H88,Q53H88,0.812,0.0016,0.855,0.0125,0.894,0.0088
Q99653,CHP1,1.29,9.57E-06,1.172,7.98E-05,1.086,0.134
Q68D50,Q68D50,0.753,0.0274,0.885,0.0734,1.028,0.708
Q38G75,Q38G75,0.698,0.0021,0.875,0.0185,0.996,0.886
Q9Y2B0,CNPY2,0.938,0.192,0.747,2.19E-06,0.982,0.642
P30086,PEBP1,0.614,4.18E-06,0.707,8.23E-06,0.544,2.4E-05
O96000,NDUBA,0.949,0.443,0.96,0.249,0.729,0.000725
Q63HN8,RN213,0.774,0.014,0.895,0.0859,0.931,0.27
Q9H7N4,SFR19,1.26,0.00838,1.146,0.124,1.166,0.0258
Q9Y6Y8,S23IP,0.826,0.00135,0.87,0.0671,0.92,0.229
P61163,ACTZ,0.776,0.173,0.759,0.0267,0.896,0.124
A8MVJ4,A8MVJ4,0.753,0.00859,0.765,0.00209,0.763,4.72E-05
B2RAF9,B2RAF9,1.202,0.00234,1.054,0.236,0.961,0.506
P19634,SL9A1,1.082,0.118,1.127,0.0559,1.21,0.00296
P29317,EPHA2,0.763,0.00526,0.874,0.11,0.907,0.472
Q6IBU0,Q6IBU0,0.622,1.1E-05,0.673,1.43E-05,0.738,2.79E-05
Q9H488,OFUT1,0.895,0.113,0.759,0.000268,1.067,0.355
B7Z5F9,B7Z5F9,0.791,0.00109,0.799,5.76E-05,0.937,0.385
Q9Y6E0,STK24,0.704,0.0193,0.893,0.0294,0.931,0.238
Q13442,HAP28,0.716,0.00571,0.736,0.00923,0.865,0.176
P32119,PRDX2,0.716,0.000839,0.849,0.0199,0.815,0.00346
B1AHD1,B1AHD1,1.376,0.00142,1.303,0.000433,1.238,0.0307
P16402,H13,1.105,0.0473,1.223,4.67E-05,1.11,0.00345
P27482,CALL3,0.782,0.0386,0.73,0.00215,0.713,0.00213
Q96AQ6,PBIP1,1.472,0.00052,1.377,0.000853,1.071,0.0825
P10644,KAP0,0.681,0.0141,0.838,0.0143,0.884,0.172
Q96CV8,Q96CV8,0.785,0.0399,0.8,0.012,0.842,0.168
Q8NBJ5,GT251,1.01,0.89,1.119,0.00683,1.458,0.000252
P20290,BTF3,0.665,0.00026,0.661,0.000384,0.941,0.315
A5Y5A3,A5Y5A3,0.683,0.0366,0.755,0.000129,0.842,0.00324
O15533,TPSN,1.127,0.0346,1.234,4.43E-05,1.24,0.000295
Q9UBQ7,GRHPR,0.728,0.00115,0.854,0.0289,0.891,0.0718
O14745,NHRF1,0.702,0.041,0.776,0.282,0.739,0.0377
Q53SB6,Q53SB6,0.668,0.0112,0.766,0.00378,0.852,0.0297
P46781,RS9,0.668,8.39E-05,0.778,1.39E-07,0.788,0.000795
Q93050,VPP1,1.227,0.0215,1.202,0.00423,1.014,0.838
O94905,ERLN2,1.055,0.0698,1.181,9.14E-05,1.224,3.7E-05
P36952,SPB5,0.703,2.87E-05,0.887,0.00387,0.86,0.00239
Q9NP79,VTA1,0.764,0.00467,0.908,0.129,0.972,0.833
Q9Y6H1,CHCH2,1.426,2.56E-05,1.253,0.000213,1.37,3.05E-06
B4DZL7,B4DZL7,0.64,0.0104,0.746,0.0261,0.885,0.0165
P46459,NSF,0.857,0.0596,0.76,0.00158,0.812,0.066
Q9NPL8,CC001,0.828,0.0118,0.847,0.0326,0.927,0.101
Q8TDB6,DTX3L,0.984,0.825,1.134,0.0742,1.23,0.0125
Q6FH11,Q6FH11,1.265,0.074,1.377,0.00699,1.097,0.216
B4DMY4,B4DMY4,1.133,0.135,1.135,0.0624,1.42,0.00711
P26358,DNMT1,0.816,0.00459,0.795,0.00374,0.97,0.597
Q13641,TPBG,2.167,0.000166,1.922,0.000993,1.332,0.0249
Q92688,AN32B,0.692,0.00559,0.799,0.0547,0.745,0.0257
P05067,A4,1.362,0.00636,1.607,0.0161,1.281,0.102
Q9Y2P8,RCL1,1.255,0.0023,1.124,0.00559,1.221,0.0062
Q9Y394,DHRS7,1.126,0.14,1.205,0.0437,1.289,0.00621
Q6PJJ2,Q6PJJ2,1.258,0.000199,1.172,0.00196,1.125,0.0101
P62873,GBB1,1.366,0.000237,1.361,0.00386,1.166,0.0699
Q96DB5,RMD1,0.819,0.029,0.784,0.00115,0.821,0.0478
Q9H2U1,DHX36,0.952,0.406,1.037,0.425,1.212,0.00709
B3KXX5,B3KXX5,0.663,0.0011,0.723,0.0142,0.709,0.005
O00186,STXB3,1.241,1.8E-05,1.13,0.000292,1.097,0.000483
Q13907,IDI1,1.206,0.00546,1.239,0.00126,0.862,0.155
P07942,LAMB1,1.277,0.00251,1.09,0.0891,1.212,0.0251
Q56VL3,OCAD2,1.2,0.0267,1.351,1.37E-05,1.187,0.0158
Q2M389,WAHS7,0.739,0.00434,0.897,0.018,0.816,0.00217
B4DUC8,B4DUC8,1,0.998,0.782,0.000901,0.766,0.00421
Q53HG5,Q53HG5,1.224,0.0111,1.126,0.11,0.969,0.672
B4DPD5,B4DPD5,0.777,0.0102,0.91,0.131,0.845,0.0932
Q9UBQ5,EIF3K,0.748,0.00843,0.771,0.00946,0.97,0.742
P30038,AL4A1,0.791,0.0113,0.887,0.095,0.92,0.243
Q13404,UB2V1,0.695,0.0443,0.789,0.0433,0.881,0.18
O95486,SC24A,0.691,0.000535,0.85,0.109,0.823,0.106
P35270,SPRE,0.837,0.00399,0.882,0.00899,0.784,0.00186
A8K5X9,A8K5X9,1.299,0.00114,1.176,0.0162,1.309,0.000768
O00303,EIF3F,0.734,1.78E-06,0.798,1.91E-05,0.835,0.00221
O95817,BAG3,0.79,0.019,0.735,0.00356,0.851,0.00597
B4DYK6,B4DYK6,0.782,0.00124,0.859,0.0511,0.939,0.336
Q7Z2W4,ZCCHV,0.596,0.0914,0.656,0.0583,0.714,0.00779
Q59E90,Q59E90,1.274,0.0546,1.015,0.572,1.272,0.016
Q8IYS2,K2013,1.226,0.0201,1.17,0.00239,1.153,0.0871
Q53HV6,Q53HV6,1.388,9.73E-05,1.142,0.00504,1.086,0.0901
Q6IAX6,Q6IAX6,0.84,0.0349,0.812,0.0127,0.937,0.621
Q86X29,LSR,1.194,0.0749,1.275,0.0163,1.151,0.0643
Q96C19,EFHD2,1.014,0.754,1.411,4E-05,1.202,0.00089
Q562R1,ACTBL,1.294,0.000806,1.277,0.0155,1.495,0.00406
O43865,SAHH2,0.714,0.0471,0.799,0.0178,0.866,0.507
Q9BZQ8,NIBAN,0.748,0.00235,0.866,0.0155,0.784,0.0394
Q6NZY4,ZCHC8,1.213,0.017,1.062,0.179,0.959,0.52
B4DRG7,B4DRG7,0.699,0.0218,0.737,0.00313,0.684,0.00215
B4E304,B4E304,1.164,6.6E-05,1.2,0.000978,1.014,0.773
Q5TZX1,Q5TZX1,1.148,0.00176,1.327,5.19E-05,1.077,0.193
A8K1D2,A8K1D2,0.748,2.83E-05,0.831,0.000389,0.812,0.00229
Q5VZU9,Q5VZU9,0.819,0.0654,0.765,0.0208,0.81,0.000192
O75436,VP26A,0.736,3.8E-05,0.835,4.41E-05,0.873,0.00152
P19971,TYPH,0.784,0.00278,0.839,0.000166,1.102,0.0768
Q53FV8,Q53FV8,1.063,0.285,1.335,0.000196,1.172,0.0424
Q16543,CDC37,0.723,0.000867,0.812,0.0019,0.977,0.627
P31153,METK2,0.737,0.000207,0.658,6.25E-08,0.8,2.94E-06
Q15437,SC23B,0.974,0.843,0.768,0.0469,0.691,0.0141
P48163,MAOX,0.534,0.00935,0.644,0.0011,0.489,0.000503
Q00796,DHSO,0.595,6.51E-05,0.727,0.000113,0.845,0.0296
Q9Y2V2,CHSP1,0.762,0.224,0.823,0.0023,0.802,0.257
Q9H1E3,NUCKS,0.675,3.47E-05,0.682,1.21E-05,0.783,0.013
Q5H9N4,Q5H9N4,0.685,0.0298,0.799,0.102,0.708,0.00531
Q93052,LPP,0.816,0.018,0.853,0.00457,0.934,0.339
Q13409,DC1I2,0.903,0.135,0.87,0.00423,0.772,0.00485
Q53ZP6,Q53ZP6,0.837,0.038,0.802,0.0205,0.868,0.163
P37108,SRP14,1.451,0.000179,1.22,0.0106,1.057,0.422
Q9H9J2,RM44,1.028,0.597,0.877,0.0309,0.811,0.000745
Q9Y3F4,STRAP,0.714,0.000178,0.745,8.94E-05,0.884,0.0166
Q7L5N7,PCAT2,1.464,0.00185,1.662,6.44E-05,1.515,4.39E-05
Q53XJ5,Q53XJ5,0.964,0.75,0.767,0.000605,0.994,0.94
Q15061,WDR43,1.212,4.9E-05,1.079,0.0403,1.102,0.00922
B4DP46,B4DP46,0.849,0.0138,0.799,0.00131,0.806,0.00112
P17812,PYRG1,0.79,0.0204,0.863,0.0272,0.877,0.0617
P62899,RL31,0.851,0.0462,0.867,0.000674,0.705,0.00302
P25789,PSA4,0.675,8.03E-06,0.744,0.000387,0.847,0.0238
P35251,RFC1,1.313,0.0023,1.136,0.00132,1.112,0.0926
Q8TBA6,GOGA5,0.969,0.605,0.999,0.979,1.204,0.0123
P80303,NUCB2,0.817,0.000873,0.87,0.223,0.833,0.00728
Q8TED0,UTP15,1.37,0.00195,1.188,0.0358,1.111,0.0619
Q9BTX1,NDC1,1.252,0.000419,1.314,0.00137,1.14,0.00315
P49406,RM19,0.818,0.00104,0.826,0.0065,0.826,0.00691
Q9BTQ7,Q9BTQ7,0.819,0.0245,0.902,0.155,1.123,0.115
Q09472,EP300,0.719,0.178,0.69,0.0145,0.807,0.263
P30043,BLVRB,0.691,0.000255,0.796,0.000765,0.717,1.25E-06
Q549U1,Q549U1,0.992,0.907,1.207,0.00526,1.201,0.0839
Q9NYV4,CDK12,0.935,0.873,0.831,0.38,0.754,0.0224
Q4KMR3,Q4KMR3,0.877,0.0135,1.205,0.0038,1.103,0.0383
Q9BZE1,RM37,0.822,0.0134,0.825,0.00736,0.966,0.32
Q15102,PA1B3,0.608,0.0147,1.11,0.724,0.689,0.00497
Q13057,COASY,0.805,0.00032,0.84,4.99E-05,0.83,8.38E-05
B4DEM9,B4DEM9,0.806,0.021,0.861,0.011,0.985,0.785
P60900,PSA6,0.8,0.00122,0.852,0.0088,0.92,0.0638
B4DJ38,B4DJ38,0.82,0.136,0.748,0.0269,0.954,0.296
B4E0L0,B4E0L0,1.316,0.00476,1.062,0.247,1.128,0.0495
Q53HP2,Q53HP2,1.038,0.535,1.081,0.122,1.294,0.0296
P98179,RBM3,0.783,0.217,0.75,0.00187,1.04,0.487
P49585,PCY1A,0.75,0.00304,0.728,0.00748,0.803,0.0136
Q13217,DNJC3,0.829,0.0226,0.831,0.0761,0.826,0.0302
Q9BRJ6,CG050,1.257,0.000378,1.091,0.0695,1.158,0.00558
Q9HCY8,S10AE,1.247,6.19E-07,1.045,0.132,1.159,0.000582
O95881,TXD12,0.697,0.0209,0.592,0.00209,0.844,0.0206
Q8WVX7,Q8WVX7,0.618,4.4E-06,0.721,5.43E-06,0.843,0.00311
Q9NQW7,XPP1,0.793,0.00316,0.829,0.00931,0.905,0.245
Q53R19,Q53R19,0.811,0.000616,1.011,0.863,1.12,0.0574
B2RDD7,B2RDD7,0.775,0.0263,0.879,0.0141,1.037,0.38
P52565,GDIR1,0.633,6.83E-06,0.737,1.56E-07,0.821,5.11E-05
Q92542,NICA,1.491,0.022,1.098,0.314,0.913,0.197
P13726,TF,1.844,0.000318,2.23,0.00015,1.826,0.000565
P26373,RL13,0.761,9.57E-08,0.836,0.000167,0.57,1.46E-06
Q99627,CSN8,0.882,0.292,0.812,0.0828,0.77,0.0283
P61956,SUMO2,0.704,0.0133,0.645,0.0041,0.79,0.0189
B2RDG1,B2RDG1,0.655,0.000794,0.798,0.000254,0.874,0.119
Q59ED2,Q59ED2,2.255,0.00222,2.488,0.0659,1.682,0.00433
Q14677,EPN4,0.676,0.00587,0.833,0.0939,0.9,0.142
P60981,DEST,0.732,0.00133,0.902,0.0137,0.928,0.113
Q2HJ14,Q2HJ14,0.781,0.00907,0.845,0.00899,0.968,0.638
P30740,ILEU,0.586,0.0146,0.813,0.000874,0.917,0.337
Q9BW92,SYTM,1.166,0.00862,1.221,0.000351,1.146,0.101
B4DP80,B4DP80,0.643,0.000413,0.742,6.44E-06,0.832,0.0017
Q92890,UFD1,0.588,0.00264,0.628,0.0239,0.809,0.0658
