Protein.IDs,Gene.name,Uniprot,Median.Ratio.C.N
IPI00032003;IPI00552214,EDMD;EMD;STA;hCG_41343;XX-FW88778H2.1-001;XX-FW88778H2.1-010,P50402;Q6FI02;Q5HY57,5.10784
IPI00181728,BRIX;BRIX1;BXDC2;hCG_2039716,Q8TDN6;A0JLQ5;B4E0B8;Q9NUW4,5.10455
IPI00554761;IPI00658097;IPI00788131;IPI00658199;IPI00935551;IPI00749279;IPI00894043;IPI00893375;IPI00893633,HMG14;HMGN1,P05114;Q3B790;Q6NSG7;A6NEL0;A6NL93,5.09545
IPI00030774;IPI00396203;IPI00953647;IPI00386607;IPI00816088;IPI00941229,KIAA0988;PP1096;SSD1;TBCD;TFCD,Q9BTW9-4;Q9BTW9;Q9BTW9-1;B4DE53;C9IYE2;Q9BTW9-5;A6NE57,5.07556
IPI00103654;IPI00746062;IPI00947087;IPI00856016;IPI00022904;IPI00946382;IPI00947527;IPI00946635;IPI00947364,PPP4R2;SBBI57,Q9NY27-1;Q9NY27;Q9NY27-2;C9IZ04;Q9NY27-3;C9JBK1,5.05169
IPI00014253,KIAA0112;RRR;RRS1,Q15050,5.02858
IPI00025890;IPI00852843;IPI00796935,C12orf30;MDM20;NAA25;NAP1,Q14CX7-1;Q14CX7;A8K8X0;Q14CX7-2,4.91892
IPI00007175;IPI00020793,CGI-37;HSPC031;HSPC180;NIP7;OK/SW-cl.76;OK/SW-cl.78,Q9Y221-1;Q9Y221;Q9Y221-2;B3KM49,4.91288
IPI00023406,CCHL;HCCS;DKFZp779I1858,P53701;Q68D50,4.88927
IPI00030275;IPI00646055,HSP75;TRAP1,Q12931;B4DR68;Q53FS6;Q53G55;Q59EK6;Q5CAQ4;Q8N9Z3;Q9BV61,4.84365
IPI00006079;IPI00413671;IPI00413673,BCLAF1;BTF;KIAA0164,Q9NYF8-1;Q9NYF8;Q6DCA8;Q9NYF8-2;Q9NYF8-4;B0AZU3,4.8403
IPI00028083,EIF2B2;EIF2BB;hCG_22350,P49770;Q53XC2;Q9BPX4,4.83399
IPI00031517;IPI00908729,MCM6,Q14566;B4DRF6;Q4ZG57,4.83369
IPI00299463;IPI00607775;IPI00916500,NBN;NBS;NBS1;P95,O60934;A0PJ71;A6H8Y5;A8K1D3,4.83348
IPI00002506;IPI00909046;IPI00909749,ALG5;HSPC149,Q9Y673;Q9HC03;B4DR37;B4DR67,4.8201
IPI00290142;IPI00921944,CTPS,P17812;B4DMB5;B4DR64;B4E1E0,4.75223
IPI00020956;IPI00514127;IPI00514330;IPI00922032,HDGF;HMG1L2;RP11-66D17.10-003;hCG_1775235;RP11-66D17.10-002,P51858;B2RDE8;Q5SZ07;A8K8G0;B3KU21;B7Z958;Q5SZ08;B7Z525,4.73457
IPI00745433;IPI00929290;IPI00794808,AGO2;EIF2C2,Q9UKV8-1;Q9UKV8;A4FVC0;Q9UKV8-2,4.72302
