accession.number,gene.name,Entry,"Entry name",,mTRAQ.ratio..N.C.a,cICAT.ratio..N.C.a
IPI00029561,NDUFA10,O95299,NDUAA_HUMAN,,2.77,2.12
IPI00029658,EFEMP1,Q12805,FBLN3_HUMAN,,0.19,0.21
IPI00029731,RPL35A,P18077,RL35A_HUMAN,,0.33,0.21
IPI00030243,PSME3,P61289,PSME3_HUMAN,,0.34,0.3
IPI00030255,PLOD3,O60568,PLOD3_HUMAN,,0.29,0.27
IPI00030936,TSPAN1,O60635,TSN1_HUMAN,,3.13,3.4
IPI00031008,TNC,P24821,TENA_HUMAN,,0.12,0.13
IPI00031036,SLC26A3,P40879,S26A3_HUMAN,,15.67,12.51
IPI00031131,C20ORF3,Q9HDC9,APMAP_HUMAN,,0.44,0.42
IPI00031517,MCM6,Q14566,MCM6_HUMAN,,0.34,0.34
IPI00031534,ST6GALNAC1,Q9NSC7,SIA7A_HUMAN,,9.88,7.93
IPI00031836,DRG1,Q9Y295,DRG1_HUMAN,,0.36,0.32
IPI00032034,B3GALT5,Q9Y2C3,B3GT5_HUMAN,,19.15,8.57
IPI00032158,NAA15,Q9BXJ9,NAA15_HUMAN,,0.43,0.35
IPI00032206,PDLIM4,P50479,PDLI4_HUMAN,,0.23,0.34
IPI00032230,EPB41L3,Q9Y2J2,E41L3_HUMAN,,3.8,2.5
IPI00032292,TIMP1,P01033,TIMP1_HUMAN,,0.28,0.25
IPI00034280,DHRS11,Q6UWP2,DHR11_HUMAN,,4.99,4.35
IPI00054042,GTF2I,P78347,GTF2I_HUMAN,,0.37,0.47
IPI00059366,H2AFY,O75367,H2AY_HUMAN,,0.49,0.28
IPI00061525,GNPNAT1,Q96EK6,GNA1_HUMAN,,2.87,3.51
IPI00101186,RRP12,Q5JTH9,RRP12_HUMAN,,0.29,0.33
IPI00101645,AHCYL2,Q96HN2,SAHH3_HUMAN,,3.46,3.82
IPI00102864,HK2,P52789,HXK2_HUMAN,,2.72,2.72
IPI00103467,ALDH1B1,P30837,AL1B1_HUMAN,,0.45,0.33
IPI00105407,AKR1B10,O60218,AK1BA_HUMAN,,8.94,6.43
IPI00107531,RAD50,Q92878,RAD50_HUMAN,,0.46,0.38
IPI00152409,AGR3,Q8TD06,AGR3_HUMAN,,8.01,3.86
IPI00152652,B3GNT6,Q6ZMB0,B3GN6_HUMAN,,10.09,7.2
IPI00163187,FSCN1,Q16658,FSCN1_HUMAN,,0.24,0.31
IPI00168813,PTK7,Q13308,PTK7_HUMAN,,0.25,0.27
IPI00176193,COL14A1,Q05707,COEA1_HUMAN,,2.49,2.44
IPI00178352,FLNC,Q14315,FLNC_HUMAN,,0.25,0.3
