"Majority.protein.IDs","t.test.Significant.A.N","t.test.Significant.C.A","t.test.Significant.C.N","Log.2..ratio.A.N","Log.2..ratio.C.A","Log.2..ratio.C.N"
"Q66PJ3;Q66PJ3-2;Q66PJ3-3;F8WCT1;B3V0L1;Q66PJ3-4;F5GYV5;F5H7X4","+","","",0.8,-0.31,0.49
"Q9UH62","","+","",-0.36,1.18,0.82
"Q92747;E9PF58","","","+",-0.44,-0.55,-0.99
"O15145","+","+","",-1.14,0.69,-0.45
"O15511;O15511-2;B1ALC0","+","","+",-0.76,0.07,-0.69
"P49407-2;P49407","+","","+",-1.16,-0.24,-1.4
"P32121-3;Q59EM5;P32121;P32121-2;G5E980","","+","",-0.92,1.63,0.7
"P15289;F8WCC8","+","","+",-1.09,-0.57,-1.65
"P51689;P51689-3","+","+","",1.36,-1.3,0.06
"Q13510-2;Q13510;E7EMM4;E7ERV9;E9PDS0","+","","+",-1.62,0.35,-1.26
"Q96DX5;Q96DX5-2;Q9BVF5","","","+",0.45,0.95,1.4
"Q9H1I8;F5H6J9","+","","",0.54,-0.06,0.48
"Q8N3C0","+","","",0.63,-0.28,0.36
"Q9UBL3;Q9UBL3-3;F5H8F7;Q9UBL3-2","+","","+",0.63,-0.07,0.56
"P04424;E9PE48;E7EMI0","","+","+",-0.29,-0.85,-1.14
"O43681","+","+","",-1.07,0.96,-0.11
"P08243;E9PCI3;E9PCX6;F8WEJ5","","+","+",0.15,1.17,1.32
"Q12797;F5H667","+","","",0.68,-0.33,0.35
"Q9BXN1","+","","",-3.23,1.67,-1.57
"Q9BZE9-2;Q9BZE9;Q9BZE9-3","+","","+",0.5,0.08,0.58
"Q7L266;Q7L266-2","","+","+",-0.43,-1.76,-2.19
"Q9NVM9;B4DNK1","+","","+",0.9,0.32,1.22
"Q8NBU5;B4E2J1;Q8NBU5-2","+","","",0.63,-0.39,0.24
"Q6PL18","","","+",0.79,0.81,1.6
"Q9NVI7-2;H0Y2W2","","","+",0.41,0.47,0.88
"Q6VMQ6;G3V1U0;Q6VMQ6-2;A8MV73","+","","+",1.22,0.02,1.24
"E7EVC7;Q676U5;Q676U5-2;A3EXL0;Q676U5-3;Q676U5-4","+","","",0.37,-0.03,0.34
"Q9Y4P1-2;Q9Y4P1;Q9Y4P1-6;C9JQ72;C9JIK8;F5H7P2;Q9Y4P1-4;F8WD71","","+","",-0.75,1.39,0.64
"Q96DT6;F5GY61;A6NGQ4","+","","",1.37,-0.06,1.31
"P31939;E9PBU3;F5GWY2","","+","+",-0.23,0.75,0.52
"E9PEJ6;P98196;E9PCW5;H0Y547;E7EMP5;H0Y8F0","","+","+",0.65,1.18,1.82
"F5H3A1;P05023;B7Z3U6","","+","+",0.02,-0.64,-0.63
"P54709;B7Z1N7","+","","",-1.05,0.4,-0.65
"P16615;P16615-3;P16615-2;P16615-5;P16615-4","+","","",-0.3,0.26,-0.05
"Q93084-2;Q93084-5;Q93084-6;Q93084;Q93084-7;Q93084-3;F8WC06;Q93084-4","","+","+",-0.52,-2.4,-2.92
"P20020;P20020-4;P20020-3;P20020-6;P20020-2;P20020-5;E7ERY9","","+","+",-0.04,-0.7,-0.74
"P25705","+","+","+",-0.42,-0.54,-0.96
"P06576;F8VPV9;H0YH81;F8W079","+","+","+",-0.49,-0.52,-1.01
"P36542-2;B4DL14","+","","",-1.02,0.27,-0.74
"P24539;Q5QNZ2","","+","+",-0.05,-1.32,-1.37
"O75947;O75947-2;F5H608","","+","+",0.09,-1.04,-0.95
"P56385","","+","+",-0.23,-0.92,-1.15
"P18859;A8MUH2","","+","+",0.13,-1.34,-1.21
"P56134;F8W7V3","","+","",1.27,-2.12,-0.86
"O75964;E9PN17","+","","+",-1.01,-0.21,-1.22
"P48047","+","","+",-0.73,-0.38,-1.11
"Q15904;F8W684;A6QRJ1","+","+","",-1.4,1.36,-0.03
"O75787;B7Z9I3;B7Z413;B7Z1I9;H0Y750","+","+","",-1.06,1.65,0.59
"B7Z3B7;F5H569;Q93050;Q93050-1;B7Z641","+","","",-0.67,0.05,-0.62
"F5GYQ1;P61421;F8WEN9","+","","",-0.69,0.48,-0.22
"P38606","+","","",-0.6,0.01,-0.59
"P21281;B4DFM5","+","","",-0.63,0.09,-0.54
"P21283;A8MQ60;E7EV59","+","","",-0.51,0.22,-0.3
"C9J2K4;Q16864","+","","",-1.71,1.2,-0.51
"O43520","","+","+",-0.01,-1.51,-1.52
"Q9UII2","+","+","",1.41,-1.44,-0.03
"Q13535;Q13535-3;Q13535-2","+","","",1.17,0.09,1.26
