"Majority.protein.IDs","t.test.Significant.A.N","t.test.Significant.C.A","t.test.Significant.C.N","Log.2..ratio.A.N","Log.2..ratio.C.A","Log.2..ratio.C.N"
"P62851","+","+","",-0.9,0.8,-0.1
"P42677;Q5T4L4","+","","",-0.99,-0.43,-1.42
"P62857","+","+","",0.71,-0.63,0.08
"P23396;E9PL09;H0YEU2;E9PPU1;E9PL45","+","+","",-0.4,0.59,0.19
"P62701","","+","",-0.52,0.8,0.29
"P46782","+","+","",-0.64,0.72,0.07
"Q15418;E9PGT3;Q15418-2;E9PRI4;Q15418-3","+","+","+",-0.33,-0.57,-0.9
"O75582;B7Z2Y5;O75582-2","","+","+",0.09,-0.96,-0.87
"P62081;B5MCP9","","+","",-0.5,0.75,0.25
"P46781;C9JM19;B5MCT8","+","+","",-0.82,0.98,0.16
"Q8N122;F5H7J5","+","","",0.66,-0.31,0.35
"Q8IZ73;F5H6I4;B4DDD1","+","","+",0.89,0.33,1.22
"P10301","+","","",-1,0.3,-0.69
"Q9P2E9","","+","",-0.12,-0.52,-0.64
"P23921;E9PD78;H0YFI0;E9PL69;F5H861","+","","+",0.77,0.6,1.37
"P31350","","+","+",-0.08,2.04,1.96
"Q7LG56;H0YAV1","","","+",-0.66,-0.33,-1
"P56182;F8W984","+","","+",1.52,0.26,1.78
"Q5JTH9;E9PCK7;Q5JTH9-2;F5H456","+","","+",1.88,-0.13,1.75
"Q9Y3B9","+","","+",1,0.26,1.26
"Q14684;C9JHZ3;Q14684-2","+","","+",1.84,-0.28,1.56
"Q9Y3A4","+","","+",1.39,0.13,1.52
"O43159;E9PPY3","+","","+",1.44,-0.36,1.08
"O43818","+","","+",1.4,0.27,1.67
"Q15050","+","","+",1.44,0.13,1.57
"Q5VWQ0","+","","",1.82,-1.12,0.7
"Q6PCB5;Q6PCB5-2","+","","",1.52,-0.66,0.86
"Q96T23;Q96T23-2;Q96T23-3;H0YCN2;H0YER1","+","","+",0.63,0.16,0.79
"O76021","+","","+",1.33,0.49,1.82
"Q96DX4","","","+",0.38,0.56,0.95
"Q7L4I2;Q7L4I2-2;F5GXM2","+","+","",1.79,-1.01,0.78
"Q15404","+","","+",-0.89,0.18,-0.72
"Q92541","+","","+",0.83,-0.15,0.68
"Q9BST9","","+","+",0.52,1.18,1.71
"Q9NQC3;Q9NQC3-5;Q9NQC3-2;F8W914;F8WAM4;Q9NQC3-4;Q9NQC3-6","+","","",0.53,-0.46,0.07
"Q96T51","+","","",0.64,-0.44,0.2
"Q8WXA3;Q8WXA3-3;H0YD93;Q8WXA3-2;Q8WXA3-4;E9PH33;B4DFR0","","+","",0.28,-0.77,-0.49
"Q96C34;Q96C34-2","+","","",0.95,-0.51,0.44
"Q9Y265;Q9Y265-2;E7ETR0","+","","+",0.7,0.18,0.88
"Q9Y230","+","+","+",0.37,0.47,0.84
"Q9H446;A8MT24;E5RGQ3","+","","",-1.55,1.46,-0.09
"P57060","+","+","",1.38,-1.62,-0.24
"Q6NW29;E7EV43;D6RDH6;D6RCM5;D6R9C7","+","","",-1.26,0.98,-0.28
"P60903","","","+",-0.45,-0.56,-1.01
"P31949","+","","",0.7,-0.04,0.67
"P80511","","+","",-0.93,2.13,1.2
"Q99584","+","","",-0.8,0.33,-0.47
"Q9HCY8","","","+",-0.8,-0.62,-1.42
"Q96FQ6","+","","+",-1.31,-0.11,-1.42
"P26447;F5H3J5","+","","",-1.38,1.36,-0.02
"P06703","+","+","",0.78,-0.68,0.1
"P31151","+","+","",-2.83,2.04,-0.78
"P05109","+","+","",-1.6,2.54,0.93
"P06702","+","+","",-1.65,2.38,0.74
"P25815","+","+","",2.22,-0.88,1.34
"P35542","+","","",-1.28,1.41,0.13
"Q96ER3;E9PRZ1;E9PMD2","","+","+",0.03,1.14,1.16
"Q9NTJ5;E9PGZ4","+","","",-0.36,-0.14,-0.51
"Q9UBE0;B3KNJ4;G3XAK6;F5GXX7","","+","+",0.24,0.91,1.15
"Q15424;F5H0H3;F5H1L1;F5GZU3;B7Z2F6;B7Z959","+","","+",1,-0.2,0.8
"Q14151","+","","",0.9,-0.42,0.48
"Q9Y3Z3;Q9Y3Z3-2","+","","",-1.03,0.38,-0.65
"B7ZLM3;Q9H0E3;Q9H0E3-2","+","","",0.79,-0.29,0.5
"O00422","","","+",0.33,0.32,0.66
"Q9UHR5;Q9UHR5-2;F5H478","","","+",0.51,0.62,1.13
"Q9NR31;B4DQ19;H0Y5E8","+","+","",-1.46,1.14,-0.32
"Q9Y6B6;Q9H029;D6RD69;D6R9R5","+","+","",-1.94,1.47,-0.47
"Q9UL12;B4DPI2;Q5SYV1","+","","",-1.92,0.46,-1.46
"Q9BW04;Q9BW04-2","+","","",0.93,0.24,1.17
"Q5T5C7;P49591","+","","",-0.47,0.29,-0.18
"O43290;G3V1T2","+","+","+",1.26,-0.53,0.73
"Q15020;B7ZKM0;F5H0B8","","","+",0.38,0.19,0.58
"Q01826-2;Q01826","","+","+",-0.13,1.76,1.64
"Q9Y3A5","","+","",-0.21,0.61,0.39
"A3KN83;A3KN83-2;A3KN83-3;A3KN83-4;F8W8H8","+","","",0.92,-0.08,0.84
"E9PBV3","+","+","",-2.09,2.17,0.07
"Q99590;F8VXG7;Q99590-2;F8W028","+","","",0.49,-0.1,0.39
"O15126;O15126-2","+","+","",0.69,-0.83,-0.15
"O15127;F5H353","","","+",-0.79,-0.43,-1.22
"Q14108;E7EM68","+","","+",-0.53,-0.14,-0.67
"O00767","","+","+",0.36,3.07,3.43
"Q8WVM8;B7Z738;B7Z4U7;B7Z594;B7Z5N7","+","","+",-0.45,-0.31,-0.76
"P13521;E7EW97","+","","+",-3.43,0.44,-2.99
"Q8WXD2","+","","",-2.35,1.3,-1.04
"O75556","+","+","",-3.71,3.27,-0.45
"O76038","+","","+",-5.92,1.03,-4.89
"Q9Y6U3;Q9Y6U3-3","","+","+",-0.45,-2.55,-2.99
"P22307;C9JC79;A6NM69;B4DHP6;E9PLD1","","","+",-0.33,-0.11,-0.44
"Q9HB40;Q9HB40-2","+","","",-1.13,0.35,-0.78
"Q14160;Q14160-3;Q14160-2","+","","",0.77,-0.47,0.29
"C9JPG0;Q12765;B4DIP5;B4DH22","+","+","",-1.56,1.92,0.36
"Q96FV2;E9PBV5","","+","",0.7,-1.12,-0.42
"Q9NVU7;E7EW05;Q9NVU7-2","+","","+",0.88,0.02,0.9
"P18827","","+","+",0.03,-2.36,-2.34
"P34741;F5H0S6;E9PBI9;E7ESK6;E5RHU3","+","","",-1.12,0.18,-0.94
"P31431;B4E1S6","+","","",-0.78,0.24,-0.54
"O00560;O00560-3;E9PBU7;B4DHN5","","+","",-0.48,0.97,0.49
"Q9H190;Q9H190-3","+","","",-1.48,1,-0.47
"Q9BRK5;Q9BRK5-6;G3V1E2;Q9BRK5-3;Q9BRK5-4;Q9BRK5-2","","+","+",-0.39,-0.71,-1.09
"P31040;E9PBJ5;D6RFM5;E9PEF8","","+","",0.25,-0.97,-0.72
"P21912","","+","",0.26,-0.95,-0.69
"O95810","+","+","+",-0.97,-0.85,-1.82
"Q8N3Y7;G3V145;Q8N3Y7-2;F5GYT6","+","+","",2.43,-1.91,0.52
"Q96GA7;H0YID3;F8VYZ3","","+","+",-0.68,-1.76,-2.44
"H0YK83;P67812;H0YK72;H0YNG3;H0YNX5;H0YNA5;H0YKT4","+","","",-0.81,0.61,-0.2
"Q9BY50;B4DI03","+","","+",-2.36,-0.08,-2.43
"O15027-5;O15027;O15027-3;O15027-4;O15027-2","+","+","",0.8,-1.03,-0.23
"O75396","","","+",-0.55,-0.27,-0.82
"Q15437;Q5QPE2","+","","+",-0.5,-0.15,-0.66
"Q9Y6Y8;F5H0L8;Q9Y6Y8-2","+","+","",0.35,-0.69,-0.34
"P53992;G5EA31","+","+","",0.37,-0.48,-0.11
"O94855-2;O94855;E9PDM8","","","+",-0.37,-0.65,-1.02
"D6REX3;O94979;O94979-2;O94979-8;O94979-3;O94979-4;B7ZL00;O94979-6;D6RHZ5;O94979-7;O94979-5","+","","+",-0.55,-0.11,-0.67
"B4DR61;P61619;P61619-3;Q9H9S3;F8W773;Q9H9S3-2;Q8TC24","","+","",-0.63,0.67,0.04
"P60468","","+","",-0.64,0.69,0.05
"Q96EE3-1;Q96EE3","+","","",0.99,-0.33,0.66
"Q9UBV2;Q9UBV2-2","","","+",-0.47,-0.19,-0.66
"Q13228;B4E1F3;Q13228-2;A6PVW9","","+","+",-0.05,-2.31,-2.36
"Q9BQE4;Q6GYA4","+","","",-0.99,0.65,-0.34
"Q9NPR2;Q9NPR2-2","","+","",0.85,-1.24,-0.39
"Q9NTN9-2;Q9NTN9;A1A5C6;E9PDN9;E5RFG2","+","","",-1.23,0.66,-0.58
"Q9P0U3;Q9P0U3-2;F8VRZ8","+","","",-0.8,0.44,-0.36
"E7EQN6;Q9GZR1;Q9GZR1-2;F8W6D9;H0Y4F4","+","","",1.53,-0.56,0.97
"O60613","","","+",-0.5,-0.38,-0.88
"P49903;D6PSQ9;Q5T5U9;B4DWK0;Q5T5U6","","+","+",-0.12,0.83,0.71
"Q99611;F5H537;F5H8F9","","+","",-0.25,0.73,0.47
"Q8WYJ6","","+","+",-0.46,-2.11,-2.57
"B5ME97;Q9P0V9-2;E7EX04;Q9P0V9;E7EW69;B7Z371;B7Z277","+","","+",0.89,0.22,1.11
"Q92599;F8W8I8;F6W7K9;A6NFQ9;A6NMH6;Q92599-2;C9J9B6;Q92599-3","","+","",0.05,0.56,0.61
"P01009;P01009-2;P01009-3","+","","",-1.01,0.46,-0.55
"Q8IW75","+","+","",-1.48,1.49,0
"G3V5I3;P01011;G3V595;G3V3A0","+","+","",-1.37,1.47,0.1
"P29622","+","+","",-1.1,1.43,0.33
"P30740;B4E3A8;B4DNT0","","+","",0.27,-0.63,-0.36
"Q3SYB4;Q96P63","+","+","",-1.04,1.64,0.6
"P29508;P29508-2","+","+","",-2.25,1.81,-0.44
"P48594;F8W9L1;C9JZ65","+","","",-3.17,1.73,-1.44
"P36952;E7EMX5","+","","+",2.52,-0.28,2.24
"O75635;F5GZC0;C9JM00","+","+","",-2.13,1.92,-0.22
"P01008","+","","",-0.5,0.48,-0.02
"P05546","+","+","",-1.98,1.7,-0.28
"P36955","+","+","",-0.85,0.84,-0.01
"P08697;B4E1B7;C9JMH6;C9JPV4","+","","",-0.65,0.63,-0.02
"E9PGN7;B4E1F0;P05155;B4E1H2","+","+","",-1.06,1.3,0.24
"P50454;B4DN87;E9PPV6;E9PR70;E9PMI5;E9PK86","","+","+",0.25,1.22,1.47
"Q01105-2;Q5VXV2;A6NGV1;B2REB8","","","+",0.43,0.3,0.73
"O15047","","","+",0.41,0.51,0.92
"F2Z317;Q9BYW2;F5H340;Q9BYW2-2;Q9BYW2-3;C9JG86","+","","",1.32,-0.35,0.97
"Q15459;E9PAW1","+","","",0.77,-0.14,0.63
"Q15428","","+","+",-0.02,1.02,1
"Q12874;E7EUT8","+","","+",0.65,0.04,0.69
"O75533","+","","+",1,-0.03,0.97
"Q9Y3B4","","","+",0.62,0.3,0.92
"Q13435;E9PPJ0","+","","+",0.8,0.02,0.82
"Q15393;Q15393-3","+","+","+",0.51,0.43,0.94
"Q9BWJ5","","+","+",0.17,0.92,1.08
"F5H6B8;Q12872;F5H5X1;F5H525","+","","+",1.36,0.26,1.62
"Q9H9B4;D6RFI0;D6RDG7","","+","",-0.48,0.98,0.5
"Q96NB2","+","+","+",0.4,-1.31,-0.92
"A6NCZ6;Q9BWM7","","","+",0.17,0.47,0.65
"Q9HBY8;Q9HBY8-3;Q9HBY8-2;F2Z3C8","","+","",1.19,-2.03,-0.83
"Q86YV5","+","","",1.03,-0.48,0.55
"Q96HU1;Q96HU1-2;B4DMS2","","+","+",-0.49,-1.62,-2.11
"O43765;E7EMJ6","","+","+",0.13,0.56,0.69
"Q96EQ0;D6RFW1","+","","",-0.88,0.31,-0.58
"Q9H788;B4DDR1;H0YAT1","+","+","",0.71,-0.89,-0.18
"O75368","+","","+",-1.34,0.65,-0.69
"Q9H299;Q5T123","+","","+",-0.63,-0.26,-0.89
"Q9Y3L3;F5GZA8;Q9Y3L3-2","+","","+",-0.63,-0.41,-1.04
"Q9P0V3;C9J137;Q9P0V3-2","","","+",0.16,0.69,0.85
"Q5HYK7;C9JDW6;Q5HYK7-2;Q5HYK7-3;Q5HYK7-4;Q5HYK7-5","+","+","",1.04,-1.12,-0.08
"Q9Y371;Q9Y371-2;B4E182","","+","+",0.16,-0.87,-0.71
"B7ZC38;Q9NR46;F6RPD3;Q9NR46-2;B7ZC39","+","+","",0.64,-0.93,-0.29
"Q5TCZ1;Q5TCZ1-3;H0Y507;B7Z9C6;F5GZ35;Q5TCZ1-2","","+","+",-0.52,-1,-1.51
"A1X283;G3V144","+","+","",1.32,-0.6,0.72
"Q7Z6J0","","+","",0.28,-0.95,-0.67
"A6NHU9;Q9UPX8-3;Q9UPX8;E7EUA2","+","+","",1.41,-0.81,0.6
"Q8NEM2","","+","",-0.5,1.84,1.35
"P34897;B7Z9F1;Q8N1A5;H0YIZ0","","+","+",-0.01,1.21,1.2
"Q9UQ13;Q9UQ13-2","+","+","",0.41,-0.59,-0.17
"Q8TF72","+","+","",1.19,-1.33,-0.14
"Q9ULL8;Q9ULL8-2","+","","",1.98,-1.05,0.93
"P14410","","","+",-1.64,-1.5,-3.14
"Q9HAT2;Q9HAT2-2","+","","+",-1.89,0.03,-1.86
"C9JBG5;Q8NBJ9-2;Q8NBJ9;F5H8L4;E9PPN9","","+","+",-0.34,-1.01,-1.34
"Q6IA17;C9JFX4;Q6IA17-2;H0YDF8","","+","+",0.13,-1.26,-1.13
"Q99720;Q99720-3;Q99720-4","+","+","",-1.89,3.08,1.19
"Q96ST3","+","","+",1.02,-0.24,0.78
"Q9P2F8","","+","",0.35,-0.91,-0.56
"P78324;P78324-2;Q5TFQ8","+","","",-1.64,1.4,-0.23
"Q9NTG7;E9PN58;E9PM75;E9PK80;B7Z5U6","","+","",-0.98,1.16,0.17
"Q8IX90;Q8IX90-3","","+","",-0.34,1.45,1.11
"O75563;B7Z5N4","+","","+",-1.37,0.23,-1.14
"P42285;F5H7E2","+","","+",0.86,-0.01,0.85
"Q5T5P2;Q5T5P2-3;C9JRK3;E9PHU3;Q5T5P2-7;Q5T5P2-2;Q5T5P2-6;Q5T5P2-8;Q5T5P2-4","+","+","",1.6,-1.19,0.41
"Q9P270","+","+","",0.96,-0.69,0.27
"F8W8D3;Q14493;E7EUV9;H0YAE8;C9IY53;Q14493-2","","+","",0.04,1.58,1.62
"P55011;P55011-3;G3XAL9","+","+","",1.84,-1.66,0.19
"Q9NRA2;Q9NRA2-2;B4DFF2","+","","",-1.22,0.37,-0.84
"Q02978;F5GY65","+","","+",-1.34,0.36,-0.98
"Q9HC21;E9PF74","+","+","",-1.3,1.41,0.11
"O43772;C9JPE1","+","","+",-2.1,0.75,-1.35
"Q9H2D1;F5H2Q1;B4DUQ5","","","+",0.17,0.66,0.83
"Q8TBP6","","+","",-1.11,1.21,0.1
"P05141","+","+","",-0.85,0.89,0.04
"P50443","+","","+",-2.37,-1.6,-3.96
"P40879;G5E9U3","+","","",-4.63,1.93,-2.7
"O14975;Q6PF09;G3V1R7","","+","",0.48,-0.98,-0.5
"Q6P1M0","+","+","",0.8,-1,-0.2
"P11166;F8WC15;G8JLF4","","+","+",0.78,1.16,1.94
"Q96QE2;E9PE47","+","","+",-1.32,-0.33,-1.66
"B7ZAC3;Q8TDB8;Q8TDB8-2;B7Z844","","+","",-0.22,1.24,1.02
"Q8NEW0","+","+","",-1.2,0.96,-0.24
"Q6PML9","+","","",0.64,-0.37,0.27
"O00400","+","","",-0.59,0.41,-0.18
"P78382;Q5W1L8;B4DEM1","","","+",-0.66,-0.74,-1.4
"Q96A29;B2RDB2;Q96K20","+","","+",-1.5,-0.49,-1.99
"B5MEC5;F8VX04;Q9H2H9","","+","+",0.71,1.24,1.95
"P08195-4;F5H4J7;P08195;F5GZS6;P08195-3;P08195-2;B4E2Z3","","+","+",0.29,1.18,1.47
"E7ENY4;E7ES98;Q96GZ6-5;Q96GZ6-6;Q96GZ6;Q96GZ6-2;A8MQ22;D6RDB0;D6RHE3;D6R9S7;Q96GZ6-7;D6R9X6;D6R9M9;D6RF72","","+","+",-0.36,1.59,1.22
"Q8WWI5;Q8WWI5-2;Q8WWI5-3","","+","+",-0.23,-1.38,-1.61
"Q8IWA5;Q8IWA5-2;E7ETY3;Q8IWA5-3","","+","+",-0.03,-1.09,-1.12
"Q53GD3;B4DWM2;E9PEK7;B4DU94;F8VS75;E9PBA0;E9PCE9","+","+","",-1.47,1.23,-0.24
"P02730","","+","",0.88,-1.44,-0.56
"Q9BWU0","","","+",0.11,0.93,1.04
"Q9Y6R1;Q9Y6R1-4;Q9Y6R1-5;Q9Y6R1-2","+","","+",-3.38,0.67,-2.71
"P13866;B7Z4Q9","","","+",1.01,0.74,1.75
"Q9Y289","","+","+",0.56,2.31,2.87
"P30825","","","+",0.74,1.17,1.91
"Q01650","","+","+",0.65,2.4,3.05
"O14745","+","+","",-0.9,1.03,0.14
"Q15599;Q15599-2","","+","+",0.18,-0.94,-0.76
"Q8IVB4","","","+",-1.12,-0.21,-1.33
"Q9H5Y7","","+","",1.65,-2.78,-1.13
"Q14BN4;Q14BN4-3;Q14BN4-2;Q14BN4-4;F6Y5M1","","+","",0.19,-0.71,-0.52
"P03973","","+","",-1.89,2.41,0.53
"O95391","+","","+",1.28,-0.36,0.92
"Q15796;Q15796-2","","","+",-0.24,-0.43,-0.67
"P84022;B7Z4Z5","","+","",-0.34,1.24,0.9
"O00193;E9PM92;E9PRZ9;E3W975","","+","+",-0.24,1.23,0.98
"Q8WU79;Q8WU79-2;B7Z5B5","","","+",-0.43,-0.69,-1.12
"B1A8Z6;B1A8Z4;Q9HBD4;P51532;B1A8Z5;B1A8Z7;F5H0X5","+","","+",0.66,0.09,0.75
"O60264;F5GZI1","+","+","+",0.36,0.76,1.12
"Q9H4L7-2;Q9H4L7;B7Z799","+","","+",1.3,0.37,1.67
"Q9NZC9","+","","",1.04,-0.08,0.96
"Q92922","+","","+",0.54,0.29,0.83
"F8VXC8;F8VTJ5;Q8TAQ2-2","+","","",0.41,-0.26,0.15
"Q96GM5;Q96GM5-2;F8VRQ4","+","","+",1.62,-0.03,1.6
"Q92925;B9EGA3;Q92925-3;Q92925-2","","","+",0.26,0.21,0.47
"Q969G3;B4DGM3;Q969G3-2;B4DFR4;C0IMW5","+","","+",0.45,0.17,0.62
"Q14683","+","","+",0.77,-0.05,0.72
"O95347;O95347-2","+","+","+",0.74,0.66,1.41
"Q9UQE7","+","","+",0.82,-0.01,0.81
"Q9NTJ3;E9PD53;Q9NTJ3-2;F5H0U7","+","","+",0.81,0.46,1.27
"Q8IY18","+","+","",1.24,-1.03,0.21
"Q96SB8-2;Q96SB8;C9JMN1","+","+","",1.29,-1.01,0.28
"A6NHR9;A6NHR9-2","+","","",0.49,-0.35,0.15
"Q5MIZ7;Q5MIZ7-2;Q5MIZ7-3","","+","+",0.64,1.28,1.91
"Q96Q15;Q96Q15-2;Q96Q15-3;Q96Q15-4","","+","",-0.16,0.72,0.56
"Q9H3U7-2;A8MSZ2;Q9H3U7","","+","+",-0.25,3.31,3.05
"Q9NY59","+","","+",-1.28,0.01,-1.28
"Q9NXE4-4;Q9NXE4;Q9NXE4-2;E7ESA2;Q9NXE4-3;B4DM23;G8JLC4","","+","+",0.29,0.59,0.88
"Q92485;Q92485-2;Q5T0Y8","+","+","",-1.4,1.75,0.35
"Q2TAY7;B4E3L0","","","+",0.43,0.64,1.07
"Q9NRG4","","","+",0.81,0.69,1.49
"Q6GMV2","","","+",0.52,0.54,1.06
"P37840;E7EPV7;P37840-2;P37840-3;D6RA31","","+","",0.82,-1.54,-0.72
"O76070","+","","+",-2.39,-0.13,-2.52
"Q7KZF4;E7ESM6","","+","",-0.2,0.46,0.26
"O75643","+","","+",1.23,-0.12,1.11
"Q8WVK2;B8ZZ98","+","","+",1.49,-0.34,1.15
"P08621;P08621-2;P08621-3","+","","+",0.9,0.26,1.16
"P08579","","+","+",0.16,0.53,0.7
"P62314","","+","",-0.48,0.79,0.32
"P62316","","","+",0.39,0.29,0.67
"P62318;B4DJP7","","","+",0.3,0.34,0.64
"P62306","","+","+",0.12,0.9,1.02
"A8MWD9;P62308;Q49AN9;C9JVQ0;F5H5R7","","+","",-0.49,1.39,0.9
"B3KVR1;P14678-3;E7ENP4;P14678;P63162;P14678-2;E7ERB2","","+","+",-0.24,1.51,1.28
"Q13884;Q13884-2","+","+","+",0.52,0.7,1.22
"Q13573;G3V3A4;G3V4X8","+","","",0.62,-0.07,0.55
"Q9UMY4;Q9UMY4-2;F8W8K5","","+","",-0.21,0.93,0.72
"Q9NRS6;E5KQS6;Q9NRS6-2;E9PMW6;E9PK26","+","","",-0.64,0.41,-0.23
"Q96RF0-2;Q96RF0","","+","",0.2,-0.56,-0.36
"O60493;O60493-4;O60493-2","","+","",-0.33,0.55,0.22
"O95219;B4DQV4","","+","",0.37,-0.68,-0.31
"Q9Y5X3;E9PBC7;Q5QPE5;Q5QPE4","+","","",-0.65,0.36,-0.29
"Q9UNH7;C0H5W9;B4DJS7;G3V5X9","","","+",-0.3,-0.32,-0.62
"Q9Y5X1;B3KXH8","+","","+",0.71,0.13,0.83
"P08294","+","+","",1.14,-1.75,-0.6
"P18583-5;P18583-9;P18583;P18583-7;P18583-2","+","+","",1.06,-0.77,0.29
"Q00796;H0YLA4","+","","",1.34,-0.58,0.76
"Q92673","","+","+",0.34,-1.3,-0.95
"Q99523;B4DWI3","+","+","+",-1.75,0.92,-0.83
"P48436;E7EPD5","","","+",0.68,0.58,1.26
"P23497;E7EUA7;P23497-3;P23497-2;E9PBK3;P23497-5;E9PHV6;F8WFE2;B8ZZD8","","","+",0.36,0.22,0.58
"Q02447;Q02447-2;H0Y7L6;Q02447-6;H0Y6K5;Q02447-5;Q02447-4","+","","",0.92,-0.41,0.5
"O75391","+","+","",0.64,-0.7,-0.06
"P09486","","+","+",0.57,1.57,2.13
"Q14515;B4E2Z0","","+","",0.37,-1.21,-0.84
"B4DT67;Q9NUQ6;B8ZZZ7","","+","",-0.22,0.64,0.42
"Q8NBT2;C9JGC4","","+","+",-0.07,1.83,1.76
"E9PI68;Q15005;E9PL01","+","","+",-0.86,-0.34,-1.2
"P61009","+","","+",-1.19,-0.09,-1.27
"Q5M775;A8MV89;Q5M775-4;Q5M775-2;Q5M775-3;Q5M775-5","","+","+",0.29,-1.25,-0.96
"Q69YQ0;F5H1H6;H0Y3Q3;F8WAN1;C9J8U1","+","+","",0.79,-1.09,-0.31
"Q96T58","+","+","",0.72,-0.64,0.09
"Q9NZD8;Q9NZD8-2","+","+","+",-0.57,1.4,0.83
"Q9UQ90;Q9UQ90-2","","+","",0.39,-1.05,-0.66
"Q9Y657","","+","+",-0.37,1.54,1.17
"P00995","","","+",-0.68,-1.55,-2.24
"Q5VZE7;O60575","","","+",-1.07,-2.85,-3.93
"Q9HCB6","","","+",-0.65,-1.14,-1.79
"Q5W111;Q5W111-2","","+","",-0.28,1,0.72
"P02549;P02549-2","","+","",1.33,-1.93,-0.6
"Q13813;Q13813-3;F8W7K3","+","+","",1.1,-1.07,0.03
"Q59FP5;P11277-2;P11277;P11277-3","","+","",1.52,-2.18,-0.67
"Q01082","+","+","",1.08,-0.99,0.09
"O15020;O15020-2;A4QPE4","+","+","",0.74,-0.66,0.08
"O15269","","+","+",-0.18,0.57,0.39
"Q14534;E7EVQ6;B4DHX0","","+","+",0.56,1.48,2.05
"Q9Y6N5","+","","+",-0.83,-0.74,-1.57
"Q13501;Q13501-2;E7EMC7;E7ERP8","","","+",0.47,0.39,0.86
"P12931-2;P12931","+","","+",0.42,0.3,0.73
"Q6ZRS2;Q6ZRS2-2;Q6ZRS2-3","","","+",0.22,0.85,1.07
"Q8WXA9-2;B3KRJ9;Q8WXA9","+","","+",1.43,-0.31,1.12
"Q8NEF9","+","","+",0.94,0.34,1.28
"P30626;A8MTH6;B4DKK2;C9J0K6;B4DHQ6","+","","",-1.96,1.17,-0.79
"P19623","","+","",-0.5,0.75,0.26
"P37108;H0YLA2","","+","+",-0.29,0.79,0.49
"P49458;P49458-2;E9PE20","","+","+",0.03,0.53,0.57
"Q96SB4","+","","+",0.7,0.42,1.12
"P08240;E9PJS4","","+","+",0.01,0.55,0.57
"E9PCT1;A9Z1X7;Q8IYB3;Q8IYB3-2","+","+","",1.59,-0.79,0.8
"Q9UQ35;F5GWZ7;Q9UQ35-2","+","+","+",1.58,-0.78,0.8
"Q9BXP5;Q9BXP5-2","+","","+",0.68,0.12,0.8
"Q07955;Q07955-2;Q07955-3","+","","",0.8,-0.18,0.62
"Q05519","+","","+",1.62,-0.17,1.45
"Q01130;H0YG49;Q8NAK9;F5GYB8","","","+",0.5,0.34,0.84
"P84103;B4E241","+","","+",1.02,0.22,1.24
"Q08170;E7EMJ8","+","","",1.34,-1.04,0.3
"Q13247;Q13247-3","+","+","+",1.89,-0.62,1.27
"Q16629;C9JAB2;G5E9M3;A6NNE8;Q16629-2;Q16629-3","+","","+",0.93,0.31,1.24
"Q9BRL6;Q9BRL6-2","+","","",2.96,-1.32,1.64
"Q13242;H0YIB4","+","","+",0.66,0.12,0.78
"Q9BYN0","","+","",-0.64,1.09,0.46
"P05455;E9PFH8","+","+","+",0.32,0.87,1.19
"Q04837;E7EUY5;C9K0U8","+","","",0.58,0.17,0.75
"P43307;C9IZQ1;E9PAL7;C9J5W0;C9J3L8;F5H5Y2;P43307-2","+","","+",-1.43,0.54,-0.89
"Q9UNL2;C9JA28;B4E2P2;C9J365","+","","",-0.73,0.32,-0.41
"Q08945","+","","+",1.03,0.02,1.05
"O60232;H0YEB6;G3V1B8;H0YEK1","","","+",0.2,0.74,0.94
"P61278","+","","+",-2.43,-0.51,-2.95
"Q9NP77;Q5SV20;Q9NP77-2","+","","+",0.94,0.33,1.27
"P50502;Q8NFI4;Q3KNR6;Q8IZP2;F6VDH7","","+","",-0.54,0.53,-0.01
"Q11206-2;Q11206-4;Q11206;Q8N6A6;Q11206-3;Q11206-5;E9PQZ2","","+","",0.23,-2.31,-2.08
"P15907","","+","",-1.25,1.79,0.54
"Q9NSC7","+","+","+",-1.42,-3.06,-4.48
"Q969X2;Q969X2-2","+","+","+",-2.28,-1.9,-4.18
"Q9NY15","+","","+",-1.61,-0.59,-2.2
"Q8N3U4-2;Q8N3U4;F8WAK8;B1AMT4","","+","+",0.6,0.96,1.56
"Q92783;Q92783-2;B4DZT2;A6NMU3","","","+",0.31,0.62,0.93
"O75886;O75886-2","","+","+",0.02,-0.54,-0.52
"Q96FJ0;Q96FJ0-2","+","","",1.58,-0.5,1.08
"Q9UGK3-2;Q9UGK3","+","","",-1.1,0.47,-0.63
"Q9Y365;F5H1Z6;F5H8H3;F5GY11;F5H8G1;F5H0V7;H0YFF3;H0YGA9","+","","+",-0.75,-0.13,-0.88
"Q9NSY2","","+","+",-0.23,-1.69,-1.92
"P42224","","+","",-0.46,0.73,0.27
"O95793;O95793-2;Q5JW30","","+","+",0.36,1.14,1.49
"E7EVJ4;E7EPX0;F8VPI7;E9PF50;E9PF26;E9PH62;Q9NUL3-3;Q9NUL3;Q9NUL3-2;E9PEI3;E7ER74;Q9NUL3-4;G5EA18;E5RJN7;E7EVI1","+","","+",0.61,-0.02,0.58
"O95210","+","","",-0.91,0.17,-0.74
"Q13586;E9PNJ4;E9PQJ4;H0YDB2","+","","+",-1.04,0.25,-0.79
"P31948;F5H0T1","","+","+",-0.02,0.39,0.37
"O94804","+","+","+",-0.52,-0.59,-1.12
