Swiss.ID,Gene,AD.NC.FC,AD.NC.FDR,AC.AD.FC,AC.AD.FDR,AC.NC.FC,AC.NC.FDR
Q9BTT0,ANP32E,0.85,0.622,3.57,0.003,3.04,0
P62917,RPL8,0.86,0.494,2.11,0.003,1.82,0.069
Q32MZ4,LRRFIP1,0.88,0.483,1.57,0,1.38,0.05
P23469,PTPRE,0.89,0.463,1.71,0.006,1.52,0.05
P05109,S100A8,0.9,0.489,3.93,0.004,3.51,0.015
P25205,MCM3,0.9,0.173,2.81,0,2.52,0
Q9UN86,G3BP2,0.9,0.094,2.01,0,1.82,0
P02748,C9,0.91,0.491,2.95,0,2.67,0
O00391,QSOX1,0.91,0.238,1.59,0.003,1.44,0.006
P23142,FBLN1,0.93,0.682,5.26,0,4.87,0
Q9Y6C2,EMILIN1,0.93,0.126,1.69,0,1.57,0
Q9Y266,NUDC,0.93,0.67,1.54,0,1.42,0.001
P17213,BPI,0.93,0.596,3.51,0.002,3.26,0.002
Q32P28,LEPRE1,0.93,0.67,2.61,0,2.44,0
Q8IUH3,RBM45,0.94,0.704,1.63,0.009,1.52,0.001
P01008,SERPINC1,0.95,0.517,1.82,0,1.72,0.007
P41091,EIF2S3,0.95,0.383,1.93,0,1.84,0
P02786,TFRC,0.96,0.619,1.82,0,1.74,0
Q96AY3,FKBP10,0.96,0.831,2.16,0.007,2.07,0.108
P16989,CSDA,0.97,0.813,2.05,0,1.98,0
P06702,S100A9,0.97,0.906,4.62,0,4.48,0
Q9BXX0,EMILIN2,0.97,0.668,1.65,0.002,1.6,0.009
P52566,ARHGDIB,0.97,0.89,1.7,0,1.66,0.018
P11717,IGF2R,0.98,0.777,1.7,0,1.66,0
P09917,ALOX5,0.98,0.904,1.87,0,1.83,0.006
P67809,YBX1,0.98,0.887,2.05,0,2,0
P02452,COL1A1,0.98,0.879,3.45,0,3.39,0
P04196,HRG,0.99,0.964,1.64,0,1.63,0.006
Q9NQ29,LUC7L,0.99,0.977,1.79,0,1.78,0.002
P60842,EIF4A1,1,0.994,1.51,0,1.51,0
P63220,RPS21,1,0.999,1.58,0.002,1.58,0.253
O00571,DDX3X,1,0.975,1.54,0,1.54,0
P26196,DDX6,1,0.976,1.55,0,1.55,0.001
Q14566,MCM6,1.01,0.977,2.89,0.002,2.91,0.001
Q5ZPR3,CD276,1.01,0.963,1.59,0,1.61,0.117
P13674,P4HA1,1.02,0.931,2.25,0,2.29,0
P63244,GNB2L1,1.02,0.861,1.79,0,1.84,0
P09619,PDGFRB,1.03,0.959,3.15,0,3.23,0.142
Q92598,HSPH1,1.03,0.692,1.65,0,1.7,0
Q01844,EWSR1,1.03,0.742,1.86,0,1.92,0
Q14444,CAPRIN1,1.03,0.865,1.95,0,2.02,0.001
Q96I24,FUBP3,1.04,0.85,2.33,0.001,2.42,0.001
P33991,MCM4,1.04,0.87,1.79,0,1.87,0.012
Q15056,EIF4H,1.04,0.808,1.95,0.003,2.03,0.007
Q8N684,CPSF7,1.05,0.707,1.58,0.005,1.65,0
O43583,DENR,1.05,0.343,1.66,0,1.74,0.002
Q02809,PLOD1,1.05,0.522,2.08,0,2.19,0
P25685,DNAJB1,1.06,0.647,1.62,0.001,1.71,0.003
P25398,RPS12,1.06,0.808,1.62,0,1.71,0.032
O00515,LAD1,1.07,0.508,1.51,0,1.61,0
Q9P0K7,RAI14,1.07,0.538,2.27,0.001,2.43,0
Q9UM07,PADI4,1.07,0.645,2.89,0,3.09,0.01
Q9NUU7,DDX19A,1.07,0.546,1.59,0,1.71,0
P04004,VTN,1.07,0.274,4,0,4.29,0
Q14008,CKAP5,1.07,0.34,1.67,0,1.8,0
P02461,COL3A1,1.07,0.51,3.05,0,3.28,0.001
P08572,COL4A2,1.08,0.687,1.52,0.008,1.63,0.068
Q9NTJ3,SMC4,1.08,0.212,2.21,0.008,2.38,0.004
O43490,PROM1,1.08,0.66,2.11,0.002,2.27,0.02
P33992,MCM5,1.08,0.315,2.33,0,2.52,0
Q96AE4,FUBP1,1.08,0.445,1.96,0,2.12,0
P20908,COL5A1,1.09,0.301,2.57,0,2.8,0.002
