Accession.No.,Gene.Symbol,UniProt,Log2.I.N,Log2.II.N
IPI00023048,EEF1D,Q969J1;Q9BW34;P29692;Q9H7G6;Q4VBZ6;Q96I38;B2RAR6,NA,2.32
IPI00000875,EEF1G,Q8TER1;Q7L583;Q9H6E5;A8K995;Q2NL65;Q9H6H7;A1A527,2.46,4.22
IPI00060181,EFHD2,Q96C19;Q5JYW9,NA,2.75
IPI00003519,EFTUD2,Q9BUR0;Q6IBM8;B4DK30;Q8IXJ3;Q15029;B3KX19,NA,4.06
IPI00029012,EIF3A,Q6P1R0;Q7Z5T5;Q14152;Q05BS0;B1AMV5;Q3B770;Q24JU4;Q15778;O00653,2.15,4.25
IPI00396370,EIF3B,Q59FS8;Q96G38;Q86UM1;Q2NL77;P55884;Q9UMF9;A4D208,NA,2.2
IPI00012795,EIF3I,Q5TFK1;Q13347;Q53HU7;Q5U0F4;Q9P1D9;C4AMB6,2.08,1.6
IPI00033143,EIF3K,Q96IQ0;A8K0I9;Q9UBQ5;Q9Y6D1,NA,5.86
IPI00025491,EIF4A1,B2R6L8;Q9NZR9;Q5U018;Q59F68;Q61516;P60842;P04765,1.56,2.97
IPI00009328,EIF4A3,Q6IBQ2;Q15033;Q96A18;P38919,2.19,2.32
IPI00376005,EIF5A,Q6IS14;Q7L7L3;Q7Z4L1;Q8WXQ9;Q9D0G2;Q16182;P63241;P10159;A8K9A0,NA,2.03
IPI00010105,EIF6,NA,3.08,4.62
IPI00465248,ENO1,Q9BT62;Q71V37;Q53FT9;P06733;Q8WU71;Q96GV1;B2RD59;Q16704;Q658M5;Q7Z3V6;Q9UM55;Q53HR3;Q9UCH6;P22712;Q6GMP2;Q4TUS4,1.02,1.18
IPI00026942,ERLIN2,B4DM38;Q86W49;A0JLQ1;O94905;Q6UXU5;Q86VS6;Q6NW21;A8K5S9,NA,0.99
IPI00386755,ERO1L,A8MYW1;Q9UKV6;Q96HE7;Q7LD45;A8K9X4;Q9P1Q9,NA,3.29
IPI00411706,ESD,Q5TBU8;Q5TBV0;Q9BVJ2;Q5TBV2;P10768,NA,1.88
IPI00010810,ETFA,B4DT43;Q53XN3;P13804,NA,-0.72
IPI00019568,F2,Q86WA1;Q7Z7P3;B4E1A7;Q53H04;Q15253;Q53H06;Q69EZ8;Q69EZ7;Q4QZ40;B2R7F7;Q8TD58;Q16505;P00734;Q9UCA1,NA,6.54
IPI00010290,FABP1,Q05CP7;Q6FGL7;P07148,-1.66,-2.97
IPI00163119,FABP6,Q9UGI7;Q8IUB1;P51161;Q8TBI3;Q07DR7,-5.93,-7.47
IPI00060143,FAM3D,Q547G2;Q96BQ1,NA,-1.79
IPI00025039,FBL,Q8WUT5;Q6IAT5;O75259;Q96BS4;Q9UPI6;B5BUE8;P22087,2.96,3.13
IPI00218803,FBLN1,Q9UH41;Q5TIC4;Q9UGR4;Q8TBH8;P23144;Q8NBH6;Q9UC21;Q9HBQ5;P23142;P23143;B0QY42;P37888,NA,1.47
IPI00242956,FCGBP,O95784;Q9Y6R7,-1.63,-2.98
IPI00021885,FGA,P02671;Q9BX62;Q3KRA7;Q6NSD8;Q8WW76;Q4QQH7;Q9UCH2;Q86Z09,NA,1.08
IPI00021891,FGG,P04469;P02679;Q96KJ3;A8K057;Q9UCF3;Q7Z664;Q9UC63;Q9UC62;Q96A14;Q53Y18;P04470,1.08,NA
IPI00002535,FKBP2,Q9BTS7;Q5BJH9;Q53XJ5;P26885,1.17,NA
IPI00024157,FKBP3,Q14317;Q53GD8;B2R4Q9;Q00688,NA,3.83
IPI00182126,FKBP9,Q96EX5;Q3MIR7;B3KY35;Q96IJ9;Q6IN76;A7YQ73;Q6P2N1;O95302;Q2M2A1;Q59FV7,2.55,NA
IPI00059292,FLJ10292,Q96A72,1.41,3.54
IPI00016255,FLJ22662,Q6P4A8;Q9H625;Q9BVV3,3.11,1.28
IPI00302592,FLNA,Q86TQ3;Q6NXF2;Q8NF52;Q96C61;Q60FE6;Q5HY53;P21333;Q2VP91;Q8TES4;Q5HY55;Q60FE5;Q5HY54,-0.94,NA
IPI00022418,FN1,Q68DT4;P02751;Q59EH1;Q68DP8;Q53S27;O95609;Q68DP9;Q14327;Q7L553;Q14328;Q14325;Q14326;Q60FE4;Q7Z391;Q9UQS6;Q6MZF4;Q6MZM7;Q6PJE5;Q9H382;Q59G22;Q8IVI8;Q6LDP6;Q68CX6;Q9H1B8;Q86T27;Q6MZU5;Q6N084;Q564H7;Q585T2;Q9UMK2;Q96KP7;Q96KP8;Q96KP9;Q14312;Q6N025;Q6N0A6;O95610;Q9HAP3;Q17RV7;Q5CZ99;Q6MZS0,1.48,2.55
IPI00554521,FTH1,Q6NZ44;Q8TD27;B3KNR5;Q6NS36;Q3SWW1;Q3KRA8;P02794,NA,1.94
IPI00375441,FUBP1,Q96AE4;Q12828;Q6PJY1;Q59FU3,NA,2.55
