"UniProt Accession","Primary Gene","LoS log2 FC","HiS log2 FC","LoT log2 FC","HiT log2 FC","Signif. LoS","Signif. HiS","Signif. LoT","Signif. HiT"
D4GU84,HVO_2071,-0.856,0.259,-0.477,-0.87,1,1,1,1
D4GU94,zim,-1.449,0.437,0.282,-1.054,1,0,0,0
D4GUC3,metS,-0.109,-0.354,-0.744,-1.333,0,1,1,1
D4GUD2,HVO_2607,-1.293,0.24,-0.883,-1.415,1,0,1,1
D4GUL2,HVO_0865,-0.224,0.539,-0.429,-0.329,0,1,1,0
D4GUL3,HVO_0866,-1.645,-0.621,-1.893,-2.247,1,0,1,1
D4GUM7,HVO_2079,-0.347,0.055,-1.153,-1.715,1,0,1,1
D4GUN5,HVO_2087,-0.635,0.493,0.043,-1.176,1,1,0,1
D4GUP2,qor4,-1.513,0.158,-0.886,-0.566,1,0,1,1
D4GUR0,tsgA2,-0.851,-0.166,-1.037,-0.811,0,0,1,0
D4GUV5,korA,-0.185,0.106,-0.294,-0.242,1,0,1,1
D4GUW5,acs2,-0.671,0.338,-0.561,-1.292,1,0,1,1
D4GV97,HVO_2164,-1.664,-0.42,-2.19,-0.706,1,0,1,1
D4GVA6,HVO_2173,-1.711,-0.53,-2.033,-1.943,1,0,1,1
D4GVK2,acaB2,-0.332,0.151,-0.831,-0.597,1,1,1,1
D4GVR4,HVO_1073,-2.284,0.225,-1.491,-2.048,1,0,1,1
D4GVU3,ahbA,-0.262,-0.063,-0.834,-0.412,1,0,1,1
D4GVX0,HVO_2254,-0.605,0.159,-0.777,-1.227,1,0,1,1
D4GVX2,HVO_2256,-0.532,0.557,-0.43,-1.352,1,1,1,1
D4GVY2,HVO_2266,-1.243,-0.414,-1.131,-1.974,1,1,1,1
D4GVY5,rmeR,-0.646,0.302,-0.738,-0.586,1,0,1,1
D4GWE5,HVO_2291,-2.345,-1.102,-3.118,-2.294,1,0,1,1
D4GWF5,HVO_2316,-2.158,-0.856,-2.572,-1.183,1,1,1,1
D4GWF9,uppS2,-1.097,0.318,-1.421,-1.444,1,0,1,1
D4GWJ3,HVO_2344,-0.699,-0.176,-0.808,-0.527,1,0,1,1
D4GWJ4,HVO_2345,-0.516,0.044,-0.211,-0.778,1,0,1,1
D4GWL5,HVO_2367,-0.565,0.195,-0.166,-0.2,1,0,0,0
D4GX08,hcpE,-2.542,-0.951,-3.631,-1.687,1,1,1,1
D4GX28,acs3,-1.22,0.12,-0.359,-1.202,1,0,1,1
D4GX73,nhaC2,-0.755,-0.976,-1.222,-2.308,0,0,1,1
D4GX84,HVO_1268,-1.293,-0.47,-1.623,-1.333,1,0,1,1
D4GXB2,HVO_1283,-0.873,0.003,-0.75,-0.94,1,0,1,1
D4GXB7,HVO_1286,-0.064,0.04,-0.59,-0.652,0,0,0,1
D4GXD4,HVO_1294,-0.958,0.109,-0.879,-1.966,1,0,1,1
D4GXJ7,HVO_2879,-0.879,0.371,-0.571,-0.362,1,1,1,1
D4GXM8,nnrDE,-0.451,-0.12,-0.482,-0.382,1,0,1,1
D4GXS9,menE,-0.288,0.231,-0.159,-0.66,1,1,0,1
D4GXW4,nhaC3,-1.137,-0.205,-1.095,-1.495,1,0,1,1
D4GY13,HVO_1424,-0.358,0.237,-0.83,-1.469,0,0,1,1
D4GY65,HVO_2983,-1.524,-0.443,-1.276,-1.674,1,0,1,1
D4GY69,gdhA2,-0.322,-0.24,-0.68,-1.35,1,1,1,1
D4GYJ1,ileS,-0.049,-0.001,-0.269,-0.546,0,0,1,1
D4GZ14,acs5,-0.356,0.826,-0.677,-0.188,1,1,1,0
D4GZ34,nhaC5,-0.558,-0.392,-1.384,-2.201,1,1,1,1
D4GZ98,HVO_0154,-2.268,-0.409,-2.493,-1.467,1,1,1,1
D4GZC9,tatCt,-0.408,0.092,-0.28,-1.004,0,0,0,1
D4GZS5,HVO_0296,-1.964,-0.608,-1.729,-1.31,1,0,1,1
D4GZY4,HVO_0357,-0.267,0.309,-0.694,-0.322,1,1,1,1
D4H029,glcK,-0.858,0.113,-0.66,-0.822,1,0,1,1
D4H042,HVO_1697,-1.714,-1.078,-0.895,-2.645,1,0,0,1
D4H044,HVO_1699,-0.217,0.269,-0.115,-0.568,1,1,1,1
D4H079,HVO_1740,-0.719,0.384,-0.561,-0.741,1,0,1,1
D4H081,HVO_1742,-0.457,0.168,-0.567,-1.27,0,0,1,1
D4H085,HVO_1746,-0.438,0.111,-0.386,-0.152,1,0,1,0
D4H092,orc10,0.07,0.302,-0.22,-0.678,0,1,1,1
D4H094,HVO_C0003,-1.747,1.17,-1.084,-1.985,1,1,1,1
D4H0A8,HVO_C0018,-0.176,-0.2,-0.471,-0.723,0,0,1,1
D4H0C8,HVO_C0040,-0.464,-0.482,-0.973,-2.58,1,1,1,1
D4H0E1,HVO_C0054,-0.299,0.674,-0.706,-0.857,0,1,1,1
D4H0E4,orc8,-0.627,0.066,-1.358,-1.207,1,0,1,1
D4H0F9,soxA2,-0.785,0.031,-0.61,-1.255,1,0,1,1
L9V8L1,HVO_2284A,-1.465,0.698,-1.481,-1.263,1,0,1,1
D4GP73,adh2,-2.215,-1.038,-0.807,-0.216,1,1,1,0
D4GPD2,HVO_B0131,-1.537,-0.578,-1.246,-1.304,1,0,1,1
D4GPK0,HVO_B0199,-1.314,0.318,-0.574,-0.315,1,0,0,0
D4GPW7,HVO_B0320,-0.751,-0.575,-0.988,0.228,0,0,1,0
D4GQA5,HVO_A0073,-1.164,-0.635,-1.726,-0.752,0,0,1,0
D4GQY1,pucH2,-2.492,-1.125,-2.958,-2.437,1,0,1,1
D4GR06,kdgA3,-0.606,-0.766,-0.352,-0.103,0,1,0,0
D4GR61,HVO_A0395,-0.807,-0.324,-0.309,0.145,1,0,0,0
D4GRA9,HVO_A0443,-1.079,-0.723,-0.659,-0.118,1,0,0,0
D4GRP6,graD3,-0.766,-0.16,-0.139,0.008,1,0,0,0
D4GSF7,malG,-1.703,-0.844,-0.476,-0.086,1,0,0,0
D4GSK4,HVO_0608,-1.538,-0.902,-0.519,-0.287,1,0,0,0
D4GT64,HVO_0711,-1.996,-1.094,-1.334,-0.695,1,1,1,1
D4GT66,aroE,-0.739,-0.65,-0.888,-0.375,1,1,1,0
D4GT86,citG,-1.388,-0.675,-1.163,-0.202,1,0,1,0
D4GTE5,kef1,-0.937,-0.196,-0.39,-0.644,1,0,1,1
D4GUB5,ppk2,-0.627,-0.188,-0.042,-0.302,1,0,0,0
D4GUG5,mmcB,-0.772,-0.327,-0.483,-0.461,1,1,1,1
D4GV27,HVO_2659,-1.537,-0.391,-0.705,-0.225,1,0,1,0
D4GV28,HVO_0939,-0.124,-0.196,-0.428,0.189,0,0,1,0
D4GVK9,pilC3,-1.15,-0.41,-0.418,-0.377,1,0,0,0
D4GVL1,HVO_1035,-1.64,-0.815,-1.735,-0.461,1,0,1,0
D4GVM3,qor2,-0.738,-0.813,-0.857,0.125,1,1,1,0
D4GVT2,gdh,-0.218,-0.154,-0.094,0.053,1,1,1,0
D4GWG0,dhs1,-2.066,-1.584,-1.757,-0.08,1,1,1,0
D4GX56,hbd1,-0.927,0.21,-0.193,0.029,1,0,0,0
D4GXN0,HVO_2894,-1.612,-0.859,-0.737,-0.602,1,1,1,0
D4GXV1,HVO_2928,-0.971,-0.307,-0.518,-0.619,1,0,0,0
D4GY06,HVO_2954,-0.99,-0.769,-0.995,-0.775,1,0,1,1
D4GZ27,rad25c,-1.037,-0.565,-1.211,-0.329,1,0,1,0
D4GZH5,hit1,-1.124,-0.335,-0.71,0.151,1,0,1,0
D4GZT3,etfA1,-1.102,-0.807,-0.533,-0.445,1,1,1,1
D4GP40,xacD,-0.165,-0.175,-0.661,-0.727,0,0,1,0
D4GPD9,HVO_B0138,-1.088,-1.164,-0.758,-1.649,1,1,0,1
D4GPM8,tsgD9,-0.963,-0.101,0.136,-0.797,1,0,0,1
D4GPR1,serA4,-0.96,-0.517,-0.694,-1.273,1,0,1,1
D4GQ27,tenA2,-0.803,-0.754,-0.184,-1.21,1,1,0,1
D4GQF7,HVO_A0126,-1.62,-0.571,-0.785,-1.456,1,0,0,1
D4GQI8,aspC4,-0.476,-0.154,0.063,-0.707,1,0,0,1
D4GR07,HVO_A0330,-1.399,-0.466,-0.586,-1.89,1,0,0,1
D4GR67,HVO_A0401,-0.336,-0.229,-0.109,-0.944,0,0,0,1
D4GRV5,HVO_0414,-0.547,-0.651,-0.378,-0.891,0,0,0,1
D4GRY8,phnD1,-1.608,-0.812,-0.257,-1.088,1,1,0,1
D4GS42,HVO_0505,-1.102,-0.911,-1.539,-2.607,1,0,1,1
D4GSB1,HVO_1787,-0.647,-0.958,-0.355,-1.724,1,1,0,1
D4GSG9,HVO_0574,-0.5,-0.455,-0.136,-1.033,0,0,0,1
D4GSM5,dppB2,-2.366,-0.43,-0.173,-2.531,1,0,0,1
D4GST9,ferA4,-1.146,-0.583,-1.235,-1.376,0,0,1,1
D4GT58,HVO_0707,-0.661,-0.686,-0.719,-1.288,1,1,1,1
D4GT92,endV,-0.605,-0.493,-0.572,-0.872,1,1,1,1
D4GTB4,polX,-0.665,-0.237,-0.12,-0.8,0,0,0,1
D4GTF6,HVO_1927,-0.996,-0.389,-0.33,-1.209,1,0,0,1
D4GTG5,cofE,-0.872,-0.678,-0.132,-0.735,1,1,0,1
D4GTP8,cbf5,-1.295,-1.185,-0.606,-1.562,1,1,1,1
D4GTT8,HVO_2507,-0.802,-0.143,-0.483,-1.101,1,0,1,1
D4GU07,pyrF,-0.438,-0.094,-0.142,-0.437,1,0,0,1
D4GU48,HVO_2035,-1.633,-0.851,-0.348,-2.042,1,0,0,1
D4GUQ7,HVO_2110,-0.78,-0.331,-0.083,-1.347,0,0,0,1
D4GUU8,sppA1,-0.858,0.056,-0.048,-0.888,1,0,0,1
D4GV26,HVO_0938,-1.004,-0.683,-1.173,-1.871,0,0,0,1
D4GV79,pilA1,-0.797,-0.524,-0.052,-0.565,1,1,0,1
D4GVC6,purC,-1.16,-0.806,-0.689,-1.382,0,0,0,1
D4GVN5,trkH2,-1.009,-0.48,-0.909,-2.471,1,1,1,1
D4GVR8,HVO_1075,-0.879,-0.491,-0.798,-1.415,1,1,1,1
D4GW17,HVO_1095,-1.306,-0.637,-0.137,-2.615,1,0,0,1
D4GWJ1,HVO_2342,-0.657,-1.026,-0.493,-1.396,1,1,1,1
D4GWK4,HVO_2356,-0.84,-0.343,-0.404,-1.61,1,0,1,1
D4GXW3,HVO_2933,-0.307,-0.338,0.105,-0.811,1,1,0,0
D4GY85,pibD,-0.133,-0.505,-0.204,-1.184,0,0,0,1
D4GY94,metX,-0.122,-0.359,0.007,-1.116,0,0,0,1
D4GYI1,orc15,-0.522,-0.4,-0.315,-0.606,1,1,1,1
D4GYJ0,dhaK,-0.494,-0.259,-0.262,-0.588,1,1,1,1
D4GYJ7,orc1,-0.163,-0.176,-0.129,-0.367,0,0,0,1
D4GYR9,recJ1,-0.531,-0.206,-0.053,-0.906,1,0,0,1
D4GZR4,HVO_0284,-1.016,-0.203,-0.336,-1.309,1,0,0,1
D4GZS3,manC,-1.288,-1.307,-0.194,-1.37,1,1,0,1
D4GZV7,HVO_0328,-0.289,-0.275,-0.255,-0.671,0,0,0,1
D4H041,HVO_1696,-1.104,-0.404,-0.206,-1.188,0,0,0,1
D4H0D1,HVO_C0043,-0.642,-0.747,0.161,-1.691,1,1,0,1
L9UXM8,HVO_A0097A,-0.984,-0.017,0.141,-1.339,1,0,0,1
D4GQ04,speE,-0.987,0.859,0.017,-0.818,0,1,0,1
D4GTP0,HVO_2012,-1.668,-0.337,-0.715,-1.541,1,0,0,1
D4GTR6,cat2,-0.657,-0.274,-0.597,-0.51,0,0,0,1
D4GXA7,HVO_2838,-0.041,0.174,-0.007,-0.639,0,0,0,1
D4H0C9,HVO_C0041,-1.306,-0.401,-0.377,-1.783,1,0,0,1
D4GP02,orc6,-0.131,-0.223,-0.564,-0.449,0,0,1,1
D4GP19,parA2,-0.495,-0.407,-0.759,-0.691,1,1,1,1
D4GP28,xacE,-0.829,-0.614,-1.685,-2.002,0,0,1,1
D4GP33,xacB,-0.657,-0.544,-0.559,-0.733,1,0,0,1
D4GP43,iucC,-2.148,-0.995,-2.064,-2.161,1,1,1,1
D4GP44,iucD,-1.952,-1.626,-2.168,-1.966,1,1,1,1
D4GP45,iucB,-2.348,-1.337,-2.323,-1.837,1,1,1,1
D4GP48,dat,-0.592,-0.569,-0.833,-0.812,1,1,1,1
D4GP68,HVO_B0066,-0.261,-0.504,-0.53,-0.523,1,1,1,1
D4GP75,HVO_B0073,-0.562,-0.27,-0.148,-0.312,1,1,0,1
D4GPA3,HVO_B0101,-0.999,-0.281,-0.884,-0.838,1,0,1,1
D4GPD5,HVO_B0134,-0.742,-0.54,-1.434,0.172,1,1,1,0
D4GPD6,HVO_B0135,-1.484,-0.946,-1.884,-0.457,1,1,1,0
D4GPE1,HVO_B0140,-0.813,-0.317,-2.389,-1.646,0,0,1,1
D4GPE2,HVO_B0141,-1.502,-0.397,-1.643,-1.327,1,0,1,1
D4GPE5,HVO_B0144,-1.675,-2.184,-2.44,-3.466,1,1,1,1
D4GPI6,dppB14,-0.092,-0.174,-0.603,-0.78,0,0,1,1
D4GPJ8,HVO_B0197,-2.224,-1.942,-2.339,-2.304,1,1,1,1
D4GPK1,aceB2,-3.707,-2.862,-4.577,-3.135,1,1,1,1
D4GPR4,HVO_B0267,-1.057,0.375,-1.497,-0.419,0,0,1,0
D4GPT4,HVO_B0287,0.047,-0.049,-0.468,-0.05,0,0,1,0
D4GPX1,HVO_B0324,-0.229,0.059,-1.026,-0.4,0,0,1,1
D4GPY7,HVO_B0340,-1.269,-1.139,-0.626,-1.008,1,1,0,1
D4GQ22,HVO_B0376,-0.059,-0.092,-1.123,0.304,0,0,1,1
D4GQ37,HVO_A0005,-0.688,-1.106,-0.938,-1.076,0,1,0,1
D4GQ96,orc13,-0.394,-0.706,-0.873,-0.444,0,1,1,0
D4GQB6,HVO_A0084,-0.394,-0.392,-0.638,-0.585,0,1,1,1
D4GQC0,HVO_A0088,-0.963,-1.362,-0.985,-0.943,0,1,1,0
D4GQI5,acs7,-1.782,-1.059,-2.09,-2.154,1,0,1,1
D4GQI6,boa4,-1.631,-1.311,-1.598,-1.839,1,1,1,1
D4GQK6,HVO_A0177,-0.407,-1.368,-1.567,-0.926,0,1,1,1
D4GQK8,HVO_A0179,-1.118,-1.178,-1.296,-1.354,0,0,1,1
D4GQL7,HVO_A0188,-0.271,-0.968,-0.804,-0.198,1,1,1,1
D4GQN5,cas8b,0.176,0.025,-0.21,0.38,0,0,0,1
D4GQS4,HVO_A0245,-2,-2.304,-2.564,-1.154,1,1,1,1
D4GQT2,HVO_A0253,-0.734,-0.829,-0.703,-0.809,1,0,0,1
D4GQT3,HVO_A0254,-0.186,-0.479,-0.282,-0.269,0,1,0,0
D4GQU4,dgoD2,-0.534,-0.262,-0.744,-0.459,1,0,1,1
D4GQZ3,HVO_A0316,-1.963,-2.6,-2.205,-0.906,1,1,1,0
D4GR19,HVO_A0342,-1.029,-0.795,-1.546,-1.368,1,1,1,1
D4GR56,HVO_A0388,-0.581,-1.242,-1.128,-1.518,1,1,1,1
D4GR96,HVO_A0430A,-2.21,-1.948,-2.261,-1.914,1,1,1,1
D4GRA5,HVO_A0439,0.426,-0.076,-1.475,0.065,1,0,1,0
D4GRA6,HVO_A0440,-1.033,-0.755,-1.239,-0.6,0,0,1,0
D4GRA7,rad25a,-1.854,-1.322,-1.436,-0.293,1,1,1,0
D4GRC3,HVO_A0458,-0.502,-0.195,-0.899,-0.352,1,0,1,1
D4GRE9,hypE1,-0.188,-0.441,-0.307,-0.312,0,1,1,1
D4GRG1,HVO_A0498,-0.556,-0.365,-0.697,-0.998,1,1,1,1
D4GRH9,HVO_A0517,-1.126,-0.689,-2.121,-1.361,0,0,1,0
D4GRI1,maoC2,-2.466,-1.617,-2.17,-2.657,1,0,1,1
D4GRK3,HVO_A0541,-2.459,-1.506,-2.442,-2.067,1,1,1,1
D4GRK7,HVO_A0545,-1.237,-1.121,-1.928,-0.785,1,1,1,1
D4GRK8,HVO_A0546,-0.446,-0.964,-1.149,-1.037,0,0,1,1
D4GRL2,HVO_A0550,-1.337,-0.947,-1.638,-1.918,1,1,1,1
D4GRL8,HVO_A0557,-1.633,-0.784,-1.329,-1.606,1,1,1,1
D4GRV4,HVO_0413,-0.038,-0.722,-1.693,-1.619,0,0,1,0
D4GRV9,HVO_0418,-1.866,-1.6,-0.939,-1.144,1,1,1,1
D4GRX7,pdxT,-0.07,-0.131,-0.804,-0.951,0,0,1,1
D4GRX9,trxA1,-1.065,-1.945,-1.525,-1.326,1,1,1,1
D4GRY9,hisH,-1.211,-1.477,-1.642,-1.148,1,1,1,1
D4GRZ9,ridA1,-0.553,-0.22,-0.455,-0.692,1,1,1,1
D4GS02,cydA,-0.232,-0.249,-1.361,0.235,0,0,1,0
D4GS14,pimT,-0.305,-0.535,-0.711,-0.823,1,1,1,1
D4GS15,HVO_0475,-0.455,-0.32,-0.742,-0.284,1,0,1,0
D4GS26,nucS,-1.287,-1.43,-2.025,-0.883,1,1,1,1
D4GS28,HVO_0488,-0.281,-2.099,-2.922,-2.815,0,1,1,1
D4GS51,HVO_0514,-1.483,-0.997,-1.672,-0.819,1,1,1,1
D4GS56,hstA,-0.612,-1.182,-1.018,-0.223,1,1,1,1
D4GS58,cca,-0.055,-1.105,-0.652,-0.406,0,1,1,1
D4GS76,HVO_0544,-0.591,-1.318,-3.992,-0.902,0,1,1,1
D4GS79,HVO_1754,-1.5,-1.595,-2.11,-1.171,1,1,1,1
D4GS84,HVO_1759,-2.073,-1.49,-2.783,-1.629,1,0,1,0
D4GS85,HVO_1760,-2.192,-1.348,-2.265,-3.294,1,1,1,1
D4GS89,HVO_1764,-0.658,-0.035,-0.772,-0.956,1,0,1,1
D4GSE5,nhaC1,-0.354,-0.168,-0.841,-0.744,0,0,0,1
D4GSG6,HVO_0571,-0.488,-1.066,-0.999,-0.674,1,1,1,1
D4GSH5,HVO_0579,-0.404,-1.177,-1.251,-1.752,1,1,1,1
D4GSH6,tuc1,0.295,-0.467,-0.744,-1.145,1,1,1,1
D4GSJ8,aroD2,-1.092,-1.745,-2.531,-1.627,1,1,1,1
D4GSK1,HVO_0605,-0.929,-0.686,-0.845,-1.705,1,1,1,1
D4GSN9,orc2,-1.818,-1.771,-1.245,-2.481,1,1,1,1
D4GSR5,HVO_0655,-1.164,-1.122,-1.176,-0.945,1,1,1,1
D4GSS1,dcd,-0.419,-0.394,-0.5,-0.242,1,1,1,1
D4GSS2,thiN,-1.669,-1.768,-0.891,-1.444,1,1,1,1
D4GST3,HVO_1825,-0.398,-1.033,-0.488,-0.972,1,1,1,1
D4GSV7,hisS,-0.122,-0.09,-0.206,-0.175,0,0,1,1
D4GSW5,HVO_1862,-0.819,0.154,-1.028,-0.672,1,0,1,0
D4GSW9,pyrH,-0.807,-0.765,-0.475,-0.744,1,1,1,1
D4GSZ4,ham1,-0.236,-0.953,-0.518,-0.443,0,1,1,1
D4GSZ6,kae1,-0.013,-0.564,-0.36,-0.478,0,1,1,1
D4GT19,HVO_2448,0.313,-0.141,-0.961,-0.68,0,0,1,1
D4GT20,topA,0.088,-0.2,-0.657,-0.637,0,0,1,1
D4GT23,gatB,-0.2,-0.12,-0.471,-0.114,1,0,1,1
D4GT30,smc,-0.238,-0.304,-0.364,-0.621,1,1,1,1
D4GT36,HVO_0692,-0.05,-0.929,-0.697,-0.634,0,1,1,1
D4GT48,rps27e,-3.047,-3.42,-2.85,-3.615,1,1,1,1
D4GT50,rpl42e,-5.873,-4.924,-4.603,-5.974,1,1,1,1
D4GT53,HVO_0702,-0.94,-0.774,-1.005,-1.027,1,1,1,1
D4GT55,HVO_0704,-1.117,-1.027,-1.365,-1.533,1,1,1,1
D4GT70,HVO_0714,-1.338,-1.408,-1.691,-2.033,0,0,1,1
D4GT77,HVO_2472,-0.364,-1.903,-0.817,-1.135,1,1,1,1
D4GT82,spt5,-1.772,-2.022,-1.966,-1.452,1,1,1,1
D4GT90,arsA1,-2.114,-1.812,-2.959,-1.701,1,1,1,1
D4GT91,HVO_0725,-0.497,-0.488,-0.718,-0.931,1,1,1,1
D4GTB0,birA,-0.646,-0.764,-1.023,-0.504,1,1,1,1
D4GTB5,pccA,-0.017,-0.137,-0.678,-0.994,0,1,1,1
D4GTE7,HVO_1918,-0.06,-0.331,-0.31,-0.551,0,1,1,1
D4GTG0,engB,-0.961,-1.665,-0.792,-1.048,1,1,0,1
D4GTG8,mutLa,-0.48,-0.922,-1.131,-0.743,1,1,1,1
D4GTH0,HVO_1941,-1.588,-0.924,-1.815,-0.326,1,1,1,0
D4GTJ4,nob1,-2.832,-3.281,-2.38,-3.529,1,1,1,1
D4GTL8,trmY,-0.345,-0.372,-0.477,-0.23,1,1,1,0
D4GTN2,cysE,-0.667,-0.858,-0.677,-1.301,1,1,1,1
D4GTN5,HVO_2007,-4.569,-3.275,-4.515,-2.285,1,1,1,1
D4GTN7,HVO_2009,-0.702,-1.731,-1.64,-1.441,1,1,1,1
D4GTP9,HVO_0757,-0.53,-0.569,-0.323,-0.385,1,1,0,0
D4GTT6,HVO_0781,-1.054,-0.969,-1.617,-0.977,1,1,1,1
D4GTT7,nadM,-0.331,-0.539,-0.776,-0.333,1,1,1,1
D4GTT9,lon,0.063,0.268,-0.398,-0.414,0,0,1,1
D4GTW2,HVO_2531,-1.79,-2.211,-2.775,-2.244,1,1,1,1
D4GTY2,rps14,-6.302,-7.762,-6.465,-7.551,1,1,1,1
D4GTZ7,HVO_2565,-0.472,-0.091,-0.173,-0.226,1,0,0,0
D4GU02,HVO_2572,-1.073,-1.135,-0.796,-0.309,1,1,1,0
D4GU28,HVO_2015,-0.48,-0.02,-1.673,-0.109,1,0,1,0
D4GU37,HVO_2024,-0.279,-0.75,-1.401,-1.719,0,0,1,1
D4GU40,HVO_2027,-5.161,-4.048,-3.109,-2.977,1,1,1,1
D4GU52,HVO_2038,-0.436,-1.034,-1.042,-0.832,0,1,0,1
D4GU68,agl15,-2.374,-2.175,-2.895,-3,1,1,1,1
D4GU77,HVO_2064,-0.916,-0.966,-1.474,-1.399,1,1,1,1
D4GU93,HVO_0793,-1.988,-1.581,-2.201,-1.688,1,1,1,1
D4GUB8,HVO_0807,-1.222,-1.971,-2.5,-1.901,1,1,1,1
D4GUC1,HVO_0808,-0.785,-1.641,-1.241,-1.021,0,1,1,0
D4GUE3,suk,-0.64,-0.666,-0.847,-0.924,0,0,1,1
D4GUE6,udp2,-1.277,-0.993,-1.097,-1.013,1,1,1,1
D4GUF0,gldA,-0.757,-0.402,-0.821,-0.815,1,1,1,1
D4GUF1,HVO_2617,-0.587,-0.366,-1.014,-1.138,1,1,1,1
D4GUF4,HVO_2618,-0.54,-0.547,-1.009,-1.131,1,1,1,1
D4GUF8,petA,-1.15,-1.557,-1.331,-0.791,1,1,1,1
D4GUG9,HVO_0832,-0.643,-0.087,-1.82,0.455,1,0,1,1
D4GUH6,nadK2,-0.287,-0.157,-0.477,-0.107,0,0,1,0
D4GUH7,HVO_0838,-1.129,-1.127,-1.412,-1.623,1,1,1,1
D4GUI5,HVO_0843,-0.372,-0.398,-1.483,-1.532,1,1,1,1
D4GUI7,hcpB,-0.658,-2.171,-1.497,-1.312,0,1,1,1
D4GUJ2,HVO_2634,-0.95,-0.542,-2.197,-1.11,1,0,1,1
D4GUJ4,HVO_2635,-0.62,-0.696,-0.885,-1.06,1,1,1,1
D4GUJ5,nthA,-1.417,-1.84,-1.297,-1.792,1,1,1,1
D4GUK2,HVO_0855,-1.174,-1.384,-0.655,-1.006,1,1,1,1
D4GUM0,HVO_0873,-0.004,0.115,-0.694,-0.259,0,0,1,0
D4GUM1,HVO_0874,-0.065,-0.038,-0.312,-0.408,0,0,1,1
D4GUM9,HVO_2081,-0.868,-0.684,-0.476,-0.977,1,1,0,1
D4GUN9,HVO_2092,-1.491,-0.811,-0.896,-2.122,1,1,1,1
D4GUP1,HVO_2094,-2.73,-1.913,-3.343,-3.166,1,1,1,1
D4GUQ1,HVO_2104,-2.182,-1.87,-2.193,-1.893,1,1,1,1
D4GUW3,HVO_0895,-1.33,-1.501,-1.204,-0.422,1,1,1,0
D4GUW4,HVO_2637,-0.499,-0.305,-1.142,-0.556,1,0,1,0
D4GUZ5,dph5,-0.981,-1.193,-0.899,-1.569,1,1,1,1
D4GV02,serA2,-0.178,-0.143,-0.235,-0.187,1,0,1,0
D4GV13,narC2,-1.017,-0.523,-2.619,-0.479,0,0,1,0
D4GV20,hcpH,-1.573,-0.667,-1.501,-1.093,1,0,1,1
D4GV24,HVO_2660,-0.489,-1.831,-2.041,-1.701,0,1,1,1
D4GV32,HVO_0941,-0.408,-0.418,-1.777,-0.767,1,0,1,0
D4GV37,cbaD,-0.737,-1.376,-2.352,-2.271,1,1,1,1
D4GV38,thiD,-5.228,-4.132,-4.19,-5.041,1,1,1,1
D4GV39,cbaB,-0.697,-0.299,-1.399,-0.139,1,1,1,0
D4GV41,cbaA,-0.193,-1.068,-1.497,-1.612,0,0,1,1
D4GV51,mntH1,-0.467,-0.477,-1.489,-0.775,1,1,1,1
D4GV65,HVO_0958,-1.482,-2.494,-1.207,-2.001,1,1,1,1
D4GV71,trxA3,-0.444,-0.296,-1.542,-0.389,1,1,1,1
D4GVA4,HVO_2171,-1.907,-1.294,-2.008,-1.819,1,1,1,1
D4GVA5,HVO_2172,-2.014,-1.713,-1.552,-2.831,1,1,1,1
D4GVF5,nuoA,-0.4,-0.457,-0.835,-0.988,1,1,1,1
D4GVF6,nuoB,-0.306,-0.337,-0.527,-0.845,1,1,1,1
D4GVF8,nuoH,-1.518,-1.681,-2.234,-2.559,0,0,1,1
D4GVG3,nuoL,-0.697,-1.036,-1.222,-0.982,1,1,1,1
D4GVG4,nuoM,0.14,-0.384,-0.886,-0.665,0,0,1,1
D4GVG5,nuoN,-1.002,-1.529,-2.144,-1.624,1,1,1,1
D4GVI3,HVO_1006,-0.528,-0.929,-1.803,-0.576,1,1,1,1
D4GVI6,HVO_1009,-0.92,-0.575,-1.591,-0.172,1,1,1,1
D4GVJ1,coxB1,-3.886,-3.23,-3.845,-1.583,1,1,1,1
D4GVJ3,HVO_1016,-0.323,-0.296,-0.497,-0.566,0,0,0,1
D4GVL0,pilB3,-1.264,-0.897,-1.317,-0.92,1,1,1,1
D4GVL8,rpoL,-0.069,-0.23,-0.183,-0.247,0,1,1,1
D4GVN0,gatA,-0.118,-0.147,-0.445,-0.052,0,0,1,0
D4GVN7,trkA2,-0.435,-0.362,-0.424,-0.596,1,1,1,1
D4GVQ1,mrpD1,-1.61,-1.591,-1.564,-1.744,1,1,1,1
D4GVQ6,HVO_2690,-0.205,-0.72,-0.554,-0.712,0,1,1,1
D4GVS2,dph6,-0.997,-1.348,-1.022,-1.202,1,1,1,1
D4GVS5,bcp1,-0.863,-0.711,-0.911,-0.596,1,1,1,1
D4GVT6,htr38,-1.326,-1.933,-0.475,-1.166,1,1,0,1
D4GVU7,HVO_2231,-0.998,-1.573,-0.759,-1.221,1,1,1,1
D4GVW4,HVO_2248,-0.162,-0.68,-0.858,-1.114,0,1,1,1
D4GVW6,apt3,-0.541,-0.004,-1.187,-0.578,0,0,1,1
D4GW01,pcrB2,-0.83,-1.079,-1.866,-2,1,1,1,1
D4GW03,panB2,-0.999,-1.491,-1.923,-1.05,1,1,1,1
D4GW04,HVO_2704,-1.346,-1.671,-1.624,-1.123,1,1,1,1
D4GW12,rnp2,-0.281,-0.42,-0.565,-0.578,1,1,1,1
D4GW21,HVO_2711,0.58,0.383,-0.75,1.212,0,0,0,1
