"gene number",Entry,"Entry name","transcriptomic suc/no stress","transcriptomic NaCl/ no stress","proteomic suc/ no stress","proteomic NaCl/ no stress"
CC_3546,P12288,USG_CAUCR,,1.93,,
CC_3710,Q9A256,Q9A256_CAUCR,1.4,1.88,,
CC_3711,Q9A255,Q9A255_CAUCR,1.47,1.81,,
CC_3757,Q9A214,Q9A214_CAUCR,,1.25,,
CC_0046,Q9AC21,Q9AC21_CAUCR,,-1.29,,
CC_0048,Q9AC19,Q9AC19_CAUCR,,-1.7,,
CC_0215,Q9ABL2,Q9ABL2_CAUCR,-1.05,-1.87,,
CC_0287,Q9ABE1,Q9ABE1_CAUCR,-2.82,-2.83,,
CC_0320,Q9ABB1,Q9ABB1_CAUCR,-2,-1.85,,
CC_0347,Q9AB84,Q9AB84_CAUCR,,-1.27,,
CC_0359,Q9AB72,DHSL_CAUCR,-1.32,-1.85,,
CC_0669,Q9AAD3,Q9AAD3_CAUCR,-3.84,-4.14,,
CC_0844,Q9A9W7,Q9A9W7_CAUCR,-1.22,-1.58,,
CC_1042,Q9A9E6,Q9A9E6_CAUCR,,-1.41,,
CC_1120,Q9A974,Q9A974_CAUCR,-3.35,-4.12,,
CC_1246,Q9A8V5,Q9A8V5_CAUCR,-1.5,-3.03,,
CC_1472,Q9A890,Q9A890_CAUCR,-1.55,-1.35,,
CC_1494,Q9A870,Q9A870_CAUCR,-1.07,-1.71,,
CC_1728,Q9A7J5,Q9A7J5_CAUCR,,-1.95,,
CC_1775,Q9A7E8,Q9A7E8_CAUCR,-2.45,-2.07,,
CC_1780,Q9A7E3,Q9A7E3_CAUCR,-3.77,,,
CC_1783,Q9A7E0,Q9A7E0_CAUCR,-1.55,-1.55,,
CC_1943,Q9A6Y3,Q9A6Y3_CAUCR,,-1.48,,
CC_1951,Q9A6X5,Q9A6X5_CAUCR,,-1.03,,
CC_2160,Q9A6D4,Q9A6D4_CAUCR,-2.55,,,
CC_2370,Q9A5S7,Q9A5S7_CAUCR,,-1.81,,
CC_2506,Q9A5E4,Q9A5E4_CAUCR,,-1.22,,
CC_3117,Q9A3T5,Q9A3T5_CAUCR,,-1.22,,
CC_3124,Q9A3S8,Q9A3S8_CAUCR,-1.39,,,
CC_3319,Q9A385,Y3319_CAUCR,,-1.94,,
CC_3446,Q9A2W0,Q9A2W0_CAUCR,,-1.91,,
CC_3499,Q9A2Q7,Q9A2Q7_CAUCR,-3.15,-3.42,,
CC_3591,Q9A2H0,Q9A2H0_CAUCR,,-1.79,,
CC_3613,Q9A2F2,Q9A2F2_CAUCR,,-1.3,,
